tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc,Organism Name,Organism Taxonomic ID
ETO60372.1,-,Pkinase,PF00069.31,8.400000000000001e-58,196.4,0.0,1.2e-57,196.0,0.0,GCA_000365525.1,Phytophthora nicotianae P1976,1317066
ETP16822.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,238.0,0.0,GCA_000365545.1,Phytophthora nicotianae CJ01A1,1317063
ETP16820.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000365545.1,Phytophthora nicotianae CJ01A1,1317063
ETP16821.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000365545.1,Phytophthora nicotianae CJ01A1,1317063
ETP01465.1,-,Pkinase,PF00069.31,8.400000000000001e-58,196.4,0.0,1.2e-57,196.0,0.0,GCA_000365545.1,Phytophthora nicotianae CJ01A1,1317063
ETP44879.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,238.0,0.0,GCA_000367145.1,Phytophthora nicotianae P10297,1317064
ETP44877.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000367145.1,Phytophthora nicotianae P10297,1317064
ETP44878.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.9e-70,237.9,0.0,GCA_000367145.1,Phytophthora nicotianae P10297,1317064
ETP29656.1,-,Pkinase,PF00069.31,8.3e-58,196.4,0.0,1.2e-57,196.0,0.0,GCA_000367145.1,Phytophthora nicotianae P10297,1317064
ETK86959.1,-,Pkinase,PF00069.31,1.2e-70,238.4,0.0,1.7e-70,238.0,0.0,GCA_000509465.1,Phytophthora nicotianae,4792
ETK86957.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509465.1,Phytophthora nicotianae,4792
ETK86958.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509465.1,Phytophthora nicotianae,4792
ETK72039.1,-,Pkinase,PF00069.31,8e-58,196.4,0.0,1.1e-57,196.0,0.0,GCA_000509465.1,Phytophthora nicotianae,4792
ETL40373.1,-,Pkinase,PF00069.31,1.2e-70,238.4,0.0,1.7e-70,238.0,0.0,GCA_000509485.1,Phytophthora nicotianae,4792
ETL40371.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509485.1,Phytophthora nicotianae,4792
ETL40372.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509485.1,Phytophthora nicotianae,4792
ETL25468.1,-,Pkinase,PF00069.31,7.900000000000001e-58,196.4,0.0,1.1e-57,196.0,0.0,GCA_000509485.1,Phytophthora nicotianae,4792
ETL93525.1,-,Pkinase,PF00069.31,1.2e-70,238.4,0.0,1.7e-70,238.0,0.0,GCA_000509505.1,Phytophthora nicotianae,4792
ETL93523.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509505.1,Phytophthora nicotianae,4792
ETL93524.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509505.1,Phytophthora nicotianae,4792
ETL78680.1,-,Pkinase,PF00069.31,7.900000000000001e-58,196.4,0.0,1.1e-57,196.0,0.0,GCA_000509505.1,Phytophthora nicotianae,4792
ETM46786.1,-,Pkinase,PF00069.31,1.2e-70,238.4,0.0,1.7e-70,238.0,0.0,GCA_000509525.1,Phytophthora nicotianae,4792
ETM46784.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509525.1,Phytophthora nicotianae,4792
ETM46785.1,-,Pkinase,PF00069.31,1.3e-70,238.4,0.0,1.7999999999999998e-70,237.9,0.0,GCA_000509525.1,Phytophthora nicotianae,4792
ETM31942.1,-,Pkinase,PF00069.31,7.900000000000001e-58,196.4,0.0,1.1e-57,196.0,0.0,GCA_000509525.1,Phytophthora nicotianae,4792
ETV75112.1,-,Pkinase,PF00069.31,1.3e-67,228.6,0.0,1.9e-67,228.0,0.0,GCA_000520075.1,Aphanomyces astaci,112090
ETV92262.1,-,Pkinase,PF00069.31,2.3e-67,227.3,0.0,3.1e-67,226.9,0.0,GCA_000520115.1,Aphanomyces invadans,157072
ETV92263.1,-,Pkinase,PF00069.31,5.3e-52,177.0,0.3,2e-41,142.4,0.0,GCA_000520115.1,Aphanomyces invadans,157072
KAG2524905.1,-,Pkinase,PF00069.31,3.8000000000000003e-59,199.4,0.0,5.4000000000000016e-59,198.9,0.0,GCA_000785725.3,Phytophthora kernoviae,325452
KAG2516512.1,-,Pkinase,PF00069.31,3.7000000000000004e-59,199.4,0.0,5.3e-59,198.9,0.0,GCA_000785735.3,Phytophthora kernoviae,325452
GLE05498.1,-,Pkinase,PF00069.31,2.1e-70,237.3,0.0,2.9e-70,236.8,0.0,GCA_001029375.2,Pythium insidiosum,114742
GLD95891.1,-,Pkinase,PF00069.31,7.5e-60,202.7,0.0,1e-59,202.3,0.0,GCA_001029375.2,Pythium insidiosum,114742
CCI49881.1,-,Pkinase,PF00069.31,3.8e-72,242.4,0.0,5.7e-72,241.8,0.0,GCA_001078535.1,Albugo candida,65357
CCI43648.1,-,Pkinase,PF00069.31,1.4999999999999998e-68,230.6,0.0,2.3e-68,230.0,0.0,GCA_001078535.1,Albugo candida,65357
CCI48223.1,-,Pkinase,PF00069.31,1.1e-56,191.7,0.0,2e-56,190.8,0.0,GCA_001078535.1,Albugo candida,65357
CCI50454.1,-,Pkinase,PF00069.31,2.1e-56,190.8,0.0,3.4e-56,190.1,0.0,GCA_001078535.1,Albugo candida,65357
KUF97505.1,-,Pkinase,PF00069.31,5.1e-71,238.4,0.0,7e-71,237.9,0.0,GCA_001482985.1,Phytophthora nicotianae,4792
KUF89047.1,-,Pkinase,PF00069.31,8.300000000000001e-71,238.4,0.0,1.2e-70,237.9,0.0,GCA_001483015.1,Phytophthora nicotianae,4792
KUG01351.1,-,Pkinase,PF00069.31,8.300000000000001e-71,238.4,0.0,1.2e-70,237.9,0.0,GCA_001483015.1,Phytophthora nicotianae,4792
KUF80877.1,-,Pkinase,PF00069.31,5.2e-58,196.4,0.0,7.2e-58,196.0,0.0,GCA_001483015.1,Phytophthora nicotianae,4792
KUF82549.1,-,Pkinase,PF00069.31,5.2e-58,196.4,0.0,7.2e-58,196.0,0.0,GCA_001483015.1,Phytophthora nicotianae,4792
RLN36569.1,-,Pkinase,PF00069.31,3.8000000000000003e-59,199.4,0.0,5.4000000000000016e-59,198.9,0.0,GCA_001707905.2,Phytophthora kernoviae,325452
RLN45761.1,-,Pkinase,PF00069.31,3.8000000000000003e-59,199.4,0.0,5.2e-59,198.9,0.0,GCA_001712645.2,Phytophthora kernoviae,325452
RLN60746.1,-,Pkinase,PF00069.31,3.8000000000000003e-59,199.4,0.0,5.2e-59,198.9,0.0,GCA_001712705.2,Phytophthora kernoviae,325452
RLN78704.1,-,Pkinase,PF00069.31,3.7000000000000004e-59,199.4,0.0,5.3e-59,198.9,0.0,GCA_001712715.2,Phytophthora kernoviae,325452
OWZ02589.1,-,Pkinase,PF00069.31,5.3e-58,197.4,0.0,7.4e-58,196.9,0.0,GCA_002215365.1,Phytophthora megakarya,4795
RAW29522.1,-,Pkinase,PF00069.31,3.5e-70,236.8,0.0,4.8e-70,236.3,0.0,GCA_003287315.1,Phytophthora cactorum,29920
RAW38761.1,-,Pkinase,PF00069.31,3.3e-58,197.6,0.0,4.600000000000001e-58,197.1,0.0,GCA_003287315.1,Phytophthora cactorum,29920
RMX67832.1,-,Pkinase,PF00069.31,1.4e-70,236.6,0.0,1.9e-70,236.2,0.0,GCA_003704535.1,Peronospora effusa,542832
RMX66732.1,-,Pkinase,PF00069.31,1.7e-59,200.3,0.0,2.4e-59,199.8,0.0,GCA_003704535.1,Peronospora effusa,542832
RQM17649.1,-,Pkinase,PF00069.31,1.4e-70,236.6,0.0,2e-70,236.2,0.0,GCA_003843895.1,Peronospora effusa,542832
RQM15223.1,-,Pkinase,PF00069.31,1.7e-59,200.3,0.0,2.4e-59,199.8,0.0,GCA_003843895.1,Peronospora effusa,542832
TDH73145.1,-,Pkinase,PF00069.31,2e-70,236.3,0.0,2.6999999999999998e-70,235.9,0.0,GCA_004359215.2,Bremia lactucae,4779
TMW65952.1,-,Pkinase,PF00069.31,3.7e-70,236.0,0.0,5.5e-70,235.5,0.0,GCA_005966545.1,Pythium oligandrum,41045
TMW68005.1,-,Pkinase,PF00069.31,3.5e-61,206.6,0.0,4.7e-61,206.2,0.0,GCA_005966545.1,Pythium oligandrum,41045
KAF1334030.1,-,Pkinase,PF00069.31,1.1e-70,238.0,0.0,1.6e-70,237.5,0.0,GCA_006386115.1,Globisporangium splendens,82926
KAF1315517.1,-,Pkinase,PF00069.31,6.5e-59,199.4,0.0,9.1e-59,198.9,0.0,GCA_006386115.1,Globisporangium splendens,82926
TYZ68897.1,-,Pkinase,PF00069.31,2.4e-33,115.2,0.0,6e-17,61.4,0.0,GCA_008271595.1,[Pythium] brassicae (nom. inval.),1485010
TYZ61032.1,-,Pkinase,PF00069.31,5.7e-05,22.2,0.0,0.046,12.6,0.3,GCA_008271595.1,[Pythium] brassicae (nom. inval.),1485010
KAE8887661.1,-,Pkinase,PF00069.31,3.3e-70,237.7,0.0,4.7e-70,237.2,0.0,GCA_009729455.1,Phytophthora fragariae,53985
KAE8906645.1,-,Pkinase,PF00069.31,3.3e-58,198.3,0.0,4.7e-58,197.8,0.0,GCA_009729455.1,Phytophthora fragariae,53985
KAE9052290.1,-,Pkinase,PF00069.31,2.8e-70,237.7,0.0,3.9e-70,237.2,0.0,GCA_009732905.1,Phytophthora rubi,129364
KAE8997119.1,-,Pkinase,PF00069.31,1.6e-58,199.1,0.0,3.4000000000000004e-58,198.0,0.0,GCA_009732905.1,Phytophthora rubi,129364
KAE9047933.1,-,Pkinase,PF00069.31,2.6999999999999998e-70,237.7,0.0,3.8e-70,237.2,0.0,GCA_009732945.1,Phytophthora rubi,129364
KAE8989504.1,-,Pkinase,PF00069.31,1.7000000000000002e-58,199.0,0.0,2.5000000000000002e-58,198.4,0.0,GCA_009732945.1,Phytophthora rubi,129364
KAE9218912.1,-,Pkinase,PF00069.31,9.4e-31,108.1,0.0,1.6e-30,107.4,0.0,GCA_009732985.1,Phytophthora fragariae,53985
KAE9119902.1,-,Pkinase,PF00069.31,2.6999999999999998e-70,237.7,0.0,3.8e-70,237.2,0.0,GCA_009733005.1,Phytophthora fragariae,53985
KAE9120489.1,-,Pkinase,PF00069.31,2.7000000000000002e-58,198.3,0.0,3.9e-58,197.8,0.0,GCA_009733005.1,Phytophthora fragariae,53985
KAE9147976.1,-,Pkinase,PF00069.31,2.8e-70,237.7,0.0,3.9e-70,237.2,0.0,GCA_009733025.1,Phytophthora fragariae,53985
KAE9147962.1,-,Pkinase,PF00069.31,2.7000000000000002e-58,198.3,0.0,3.9e-58,197.8,0.0,GCA_009733025.1,Phytophthora fragariae,53985
KAE9241213.1,-,Pkinase,PF00069.31,0.0014,18.9,0.0,0.0024,18.2,0.0,GCA_009733045.1,Phytophthora fragariae,53985
KAE9119711.1,-,Pkinase,PF00069.31,2.7000000000000002e-58,198.3,0.0,3.9e-58,197.8,0.0,GCA_009733065.1,Phytophthora fragariae,53985
KAE9241218.1,-,Pkinase,PF00069.31,2.7000000000000002e-58,198.3,0.0,3.9e-58,197.8,0.0,GCA_009733085.1,Phytophthora fragariae,53985
KAE9316548.1,-,Pkinase,PF00069.31,2.7000000000000002e-58,198.3,0.0,3.9e-58,197.8,0.0,GCA_009733105.1,Phytophthora fragariae,53985
KAE9316601.1,-,Pkinase,PF00069.31,0.077,13.3,0.0,0.12,12.6,0.0,GCA_009733105.1,Phytophthora fragariae,53985
KAE9359219.1,-,Pkinase,PF00069.31,2.8e-70,237.7,0.0,4e-70,237.2,0.0,GCA_009733145.1,Phytophthora rubi,129364
KAE9303230.1,-,Pkinase,PF00069.31,1.8e-58,198.9,0.0,2.7000000000000002e-58,198.4,0.0,GCA_009733145.1,Phytophthora rubi,129364
KAF0730461.1,-,Pkinase,PF00069.31,8.2e-69,232.1,0.0,1.2e-68,231.6,0.0,GCA_009835175.1,Aphanomyces euteiches,100861
KAF1789498.1,-,Pkinase,PF00069.31,2.6e-70,237.2,0.0,3.5999999999999995e-70,236.8,0.0,GCA_010194725.1,Phytophthora cactorum,29920
KAF1791553.1,-,Pkinase,PF00069.31,4.9000000000000003e-36,124.9,0.0,5.9e-19,68.9,0.0,GCA_010194725.1,Phytophthora cactorum,29920
KAG1692370.1,-,Pkinase,PF00069.31,1.7e-70,237.8,0.0,2.3e-70,237.4,0.0,GCA_016618375.1,Phytophthora capsici,4784
KAG1703485.1,-,Pkinase,PF00069.31,3.4e-59,200.8,0.0,4.7e-59,200.3,0.0,GCA_016618375.1,Phytophthora capsici,4784
KAG2819240.1,-,Pkinase,PF00069.31,3.8e-70,236.8,0.0,5.3e-70,236.3,0.0,GCA_016864635.1,Phytophthora cactorum,29920
KAG2828238.1,-,Pkinase,PF00069.31,3.6e-58,197.6,0.0,5.000000000000001e-58,197.1,0.0,GCA_016864635.1,Phytophthora cactorum,29920
KAG2787355.1,-,Pkinase,PF00069.31,4.1e-58,197.6,0.0,5.7e-58,197.1,0.0,GCA_016864655.1,Phytophthora cactorum,29920
KAG2776761.1,-,Pkinase,PF00069.31,0.031,14.4,0.0,0.049,13.7,0.0,GCA_016864655.1,Phytophthora cactorum,29920
KAG2816559.1,-,Pkinase,PF00069.31,3.9e-70,236.8,0.0,5.3999999999999996e-70,236.3,0.0,GCA_016864665.1,Phytophthora cactorum,29920
KAG2829057.1,-,Pkinase,PF00069.31,3.6e-58,197.6,0.0,5.1e-58,197.1,0.0,GCA_016864665.1,Phytophthora cactorum,29920
KAG2945122.1,-,Pkinase,PF00069.31,3.3e-17,63.4,0.0,5.5e-11,43.0,0.0,GCA_016864715.1,Phytophthora cactorum,29920
KAG3023905.1,-,Pkinase,PF00069.31,4e-58,197.6,0.0,5.6e-58,197.1,0.0,GCA_016864795.1,Phytophthora cactorum,29920
KAG2986744.1,-,Pkinase,PF00069.31,3.6e-58,197.6,0.0,5.1e-58,197.1,0.0,GCA_016864815.1,Phytophthora cactorum,29920
KAG3089192.1,-,Pkinase,PF00069.31,3.6e-58,197.6,0.0,5.000000000000001e-58,197.1,0.0,GCA_016864855.1,Phytophthora cactorum,29920
KAG3223015.1,-,Pkinase,PF00069.31,1.3e-30,107.2,0.0,1.2999999999999998e-24,87.5,0.0,GCA_016865055.1,Phytophthora cactorum,29920
KAG3175553.1,-,Pkinase,PF00069.31,3.9e-58,197.6,0.0,5.5e-58,197.1,0.0,GCA_016865075.1,Phytophthora cactorum,29920
KAG3194014.1,-,Pkinase,PF00069.31,0.0008,19.5,0.0,0.0013,18.9,0.0,GCA_016865085.1,Phytophthora cactorum,29920
KAG3110857.1,-,Pkinase,PF00069.31,0.00079,19.5,0.0,0.0013,18.9,0.0,GCA_016865095.1,Phytophthora idaei,53986
KAG3156054.1,-,Pkinase,PF00069.31,0.00072,19.5,0.0,0.0011,18.9,0.0,GCA_016880175.1,Phytophthora idaei,53986
KAG3245299.1,-,Pkinase,PF00069.31,0.00046,20.1,0.0,0.00076,19.4,0.0,GCA_016880985.1,Phytophthora idaei,53986
KAG4057488.1,-,Pkinase,PF00069.31,4e-58,197.6,0.0,5.6e-58,197.1,0.0,GCA_016906365.1,Phytophthora cactorum,29920
KAG4234383.1,-,Pkinase,PF00069.31,5e-70,236.9,0.0,6.8e-70,236.4,0.0,GCA_017309695.1,Phytophthora cactorum,29920
KAG4240582.1,-,Pkinase,PF00069.31,4.8e-58,197.6,0.0,6.800000000000001e-58,197.1,0.0,GCA_017309695.1,Phytophthora cactorum,29920
KAG6604574.1,-,Pkinase,PF00069.31,9.2e-61,205.7,0.1,3.800000000000001e-58,197.2,0.1,GCA_018691715.1,Phytophthora cinnamomi,4785
KAG6604575.1,-,Pkinase,PF00069.31,9.2e-61,205.7,0.1,3.800000000000001e-58,197.2,0.1,GCA_018691715.1,Phytophthora cinnamomi,4785
KAG6587159.1,-,Pkinase,PF00069.31,7.2e-58,196.3,0.0,1e-57,195.8,0.0,GCA_018691715.1,Phytophthora cinnamomi,4785
KAG6968385.1,-,Pkinase,PF00069.31,3.5e-58,197.0,0.0,4.8e-58,196.6,0.0,GCA_018873745.1,Phytophthora aleatoria,2496075
KAG6965607.1,-,Pkinase,PF00069.31,2.4e-58,197.6,0.0,3.3e-58,197.2,0.0,GCA_018873755.1,Phytophthora cactorum,29920
KAG9406963.1,-,Pkinase,PF00069.31,7.8e-69,232.1,0.0,1.1e-68,231.6,0.0,GCA_019828595.1,Aphanomyces cochlioides,112091
KAH7468701.1,-,Pkinase,PF00069.31,6.8e-59,199.2,0.0,9.4e-59,198.7,0.0,GCA_020800215.1,Phytophthora ramorum,164328
KAL4176886.1,-,Pkinase,PF00069.31,7.9e-70,235.0,0.0,1.1e-69,234.5,0.0,GCA_020800235.2,Phytophthora ramorum,164328
KAL4168450.1,-,Pkinase,PF00069.31,6.8e-59,199.2,0.0,9.4e-59,198.7,0.0,GCA_020800235.2,Phytophthora ramorum,164328
UIZ20658.1,-,Pkinase,PF00069.31,1.6e-70,236.6,0.0,2.2e-70,236.2,0.0,GCA_021491655.1,Peronospora effusa,542832
UIZ28852.1,-,Pkinase,PF00069.31,1.9000000000000001e-59,200.3,0.0,2.7000000000000008e-59,199.8,0.0,GCA_021491655.1,Peronospora effusa,542832
KAH9108886.1,-,Pkinase,PF00069.31,8.9e-69,232.1,0.0,1.3e-68,231.6,0.0,GCA_021527665.1,Aphanomyces euteiches,100861
KAH9056040.1,-,Pkinase,PF00069.31,9.3e-69,232.1,0.0,1.3e-68,231.6,0.0,GCA_021527685.1,Aphanomyces euteiches,100861
KAH9134684.1,-,Pkinase,PF00069.31,8.799999999999998e-69,232.1,0.0,1.3e-68,231.6,0.0,GCA_021527745.1,Aphanomyces euteiches,100861
KAH9132262.1,-,Pkinase,PF00069.31,8.7e-69,232.1,0.0,1.2e-68,231.6,0.0,GCA_021527785.1,Aphanomyces euteiches,100861
KAH9192606.1,-,Pkinase,PF00069.31,8.099999999999998e-69,232.1,0.0,1.1e-68,231.6,0.0,GCA_021527805.1,Aphanomyces euteiches,100861
KAI9918946.1,-,Pkinase,PF00069.31,6.600000000000001e-57,193.0,0.0,8.900000000000002e-57,192.5,0.0,GCA_026184515.1,Peronosclerospora sorghi,230839
KAI9979614.1,-,Pkinase,PF00069.31,1.2e-70,238.1,0.0,1.5e-70,237.7,0.0,GCA_026225685.1,Phytophthora infestans,4787
KAI9979803.1,-,Pkinase,PF00069.31,2.9999999999999995e-70,236.8,0.0,4.1e-70,236.3,0.0,GCA_026225685.1,Phytophthora infestans,4787
KAI9998530.1,-,Pkinase,PF00069.31,2.9999999999999995e-70,236.8,0.0,4.1e-70,236.3,0.0,GCA_026225685.1,Phytophthora infestans,4787
KAI9979455.1,-,Pkinase,PF00069.31,2.9999999999999995e-70,236.8,0.0,4.1e-70,236.3,0.0,GCA_026225685.1,Phytophthora infestans,4787
KAI9998562.1,-,Pkinase,PF00069.31,2.9999999999999995e-70,236.8,0.0,4.1e-70,236.3,0.0,GCA_026225685.1,Phytophthora infestans,4787
KAI9981527.1,-,Pkinase,PF00069.31,7.4e-58,196.1,0.0,1.1e-57,195.6,0.0,GCA_026225685.1,Phytophthora infestans,4787
KAJ0399649.1,-,Pkinase,PF00069.31,1.4e-39,135.5,0.0,9.8e-22,77.0,0.1,GCA_026401375.1,Pythium insidiosum,114742
KAJ0399516.1,-,Pkinase,PF00069.31,1.4e-39,135.5,0.0,9.7e-22,77.0,0.1,GCA_026401395.1,Pythium insidiosum,114742
DAZ96507.1,-,Pkinase,PF00069.31,1.5e-70,237.2,0.0,2.2e-70,236.6,0.0,GCA_027925865.1,Lagenidium giganteum,4803
GMF16228.1,-,Pkinase,PF00069.31,1.9e-71,240.6,0.0,2.5e-71,240.2,0.0,GCA_030267725.1,Phytophthora lilii,2077276
GMF16451.1,-,Pkinase,PF00069.31,2.1e-70,237.9,0.0,2.8e-70,237.4,0.0,GCA_030267785.1,Phytophthora fragariaefolia,1490495
KAK1934669.1,-,Pkinase,PF00069.31,7.5e-71,238.4,0.0,1e-70,238.0,0.0,GCA_031305395.1,Phytophthora citrophthora,4793
KAL0591393.1,-,Pkinase,PF00069.31,2.1e-72,242.5,0.0,3.1e-72,242.0,0.0,GCA_040437565.1,Albugo candida,65357
KAL0589881.1,-,Pkinase,PF00069.31,8.3e-57,191.4,0.0,1.5e-56,190.6,0.0,GCA_040437565.1,Albugo candida,65357
KAL3656331.1,-,Pkinase,PF00069.31,2.2e-70,237.1,0.0,2.9999999999999995e-70,236.7,0.0,GCA_046127205.1,Phytophthora oleae,2107226
KAL3664820.1,-,Pkinase,PF00069.31,1.4000000000000001e-59,201.7,0.0,2e-59,201.2,0.0,GCA_046127205.1,Phytophthora oleae,2107226
KAL4110224.1,-,Pkinase,PF00069.31,7.799999999999999e-70,235.0,0.0,1.1e-69,234.5,0.0,GCA_046861845.1,Phytophthora ramorum,164328
KAL4094543.1,-,Pkinase,PF00069.31,6.7e-59,199.2,0.0,9.3e-59,198.7,0.0,GCA_046861845.1,Phytophthora ramorum,164328
KAL4161283.1,-,Pkinase,PF00069.31,8.1e-70,235.0,0.0,1.1e-69,234.5,0.0,GCA_046861995.1,Phytophthora ramorum,164328
KAL4150579.1,-,Pkinase,PF00069.31,6.900000000000002e-59,199.2,0.0,9.6e-59,198.7,0.0,GCA_046861995.1,Phytophthora ramorum,164328
KAL4114032.1,-,Pkinase,PF00069.31,7.699999999999999e-70,235.0,0.0,1.1e-69,234.5,0.0,GCA_046862035.1,Phytophthora ramorum,164328
KAL4123888.1,-,Pkinase,PF00069.31,6.7e-59,199.2,0.0,9.3e-59,198.7,0.0,GCA_046862035.1,Phytophthora ramorum,164328
CEG48076.1,-,Pkinase,PF00069.31,3.5e-70,236.2,0.0,4.9e-70,235.7,0.0,GCA_900000015.1,Plasmopara halstedii,4781
CEG44184.1,-,Pkinase,PF00069.31,1.9000000000000001e-59,201.0,0.0,2.6e-59,200.5,0.0,GCA_900000015.1,Plasmopara halstedii,4781
CAH0482815.1,-,Pkinase,PF00069.31,0.00032,19.3,0.0,0.00052,18.6,0.0,GCA_920618645.1,Peronospora belbahrii,622444
CAH0484359.1,-,Pkinase,PF00069.31,1.6e-70,236.6,0.0,2.3e-70,236.2,0.0,GCA_920940705.1,Peronospora farinosa,134698
CAH0490404.1,-,Pkinase,PF00069.31,2.1e-59,200.2,0.0,2.9e-59,199.7,0.0,GCA_920940705.1,Peronospora farinosa,134698
CAH0521871.1,-,Pkinase,PF00069.31,1.5e-58,197.4,0.0,2.1000000000000002e-58,196.9,0.0,GCA_921012115.1,Peronospora belbahrii,622444
CAI5723287.1,-,Pkinase,PF00069.31,1.7999999999999998e-70,236.6,0.0,2.5e-70,236.2,0.0,GCA_947641895.1,Peronospora effusa,542832
CAI5716976.1,-,Pkinase,PF00069.31,2.1e-59,200.3,0.0,3e-59,199.8,0.0,GCA_947641895.1,Peronospora effusa,542832
CAI5740127.1,-,Pkinase,PF00069.31,1.7e-70,236.6,0.0,2.4e-70,236.2,0.0,GCA_947646735.1,Peronospora farinosa,134698
CAI5738964.1,-,Pkinase,PF00069.31,2.2000000000000008e-59,200.2,0.0,3.1e-59,199.7,0.0,GCA_947646735.1,Peronospora farinosa,134698
CAI5709637.1,-,Pkinase,PF00069.31,1.5e-70,236.8,0.0,2.2e-70,236.2,0.0,GCA_947650285.1,Hyaloperonospora brassicae,162125
CAI5718987.1,-,Pkinase,PF00069.31,2.2e-57,193.6,0.0,3.2e-57,193.1,0.0,GCA_947650285.1,Hyaloperonospora brassicae,162125
CAI5747265.1,-,Pkinase,PF00069.31,9.6e-70,234.5,0.0,1.2999999999999998e-69,234.1,0.0,GCA_947650345.1,Peronospora destructor,86335
CAI5708946.1,-,Pkinase,PF00069.31,8.200000000000001e-59,198.7,0.0,1.3e-58,198.1,0.0,GCA_947650345.1,Peronospora destructor,86335
