tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
XP_018636200.1,-,Pkinase,PF00069.31,3.5e-59,199.2,0.0,4e-59,199.1,0.0,GCF_000006565.2
XP_018636483.1,-,Pkinase,PF00069.31,1e-58,197.7,0.0,1.3e-58,197.4,0.0,GCF_000006565.2
XP_002369585.1,-,Pkinase,PF00069.31,4e-58,195.8,0.2,3.6e-50,169.7,0.2,GCF_000006565.2
XP_002365709.1,-,Pkinase,PF00069.31,2.6e-57,193.1,0.7,2.4e-26,91.6,0.2,GCF_000006565.2
XP_018636684.1,-,Pkinase,PF00069.31,6.9e-57,191.7,0.0,4.8e-36,123.4,0.1,GCF_000006565.2
XP_002370627.1,-,Pkinase,PF00069.31,1.3e-56,190.8,0.0,2.2e-56,190.1,0.0,GCF_000006565.2
XP_002365407.1,-,Pkinase,PF00069.31,4.1e-56,189.2,0.1,5.6e-54,182.2,0.0,GCF_000006565.2
XP_002370886.1,-,Pkinase,PF00069.31,6e-56,188.6,0.0,1.1e-36,125.5,0.0,GCF_000006565.2
XP_002365528.2,-,Pkinase,PF00069.31,1.3e-55,187.5,0.0,6.7e-55,185.2,0.0,GCF_000006565.2
XP_018638537.1,-,Pkinase,PF00069.31,7.1e-55,185.1,0.0,9.8e-55,184.7,0.0,GCF_000006565.2
XP_018635470.1,-,Pkinase,PF00069.31,1.1e-54,184.4,0.0,3.4e-32,110.7,0.0,GCF_000006565.2
XP_018638015.1,-,Pkinase,PF00069.31,1.4e-54,184.2,0.0,1.6e-53,180.7,0.0,GCF_000006565.2
XP_018637920.1,-,Pkinase,PF00069.31,4.7e-52,175.9,0.0,2.3e-23,81.8,0.0,GCF_000006565.2
XP_018638598.1,-,Pkinase,PF00069.31,3.8e-51,172.9,0.0,6e-51,172.2,0.0,GCF_000006565.2
XP_018637123.1,-,Pkinase,PF00069.31,5.2e-51,172.4,0.0,2.3e-27,94.9,0.0,GCF_000006565.2
XP_018635443.1,-,Pkinase,PF00069.31,6.6e-51,172.1,0.0,1.2e-50,171.2,0.0,GCF_000006565.2
XP_018636509.1,-,Pkinase,PF00069.31,3e-50,170.0,0.0,6.7e-38,129.5,0.0,GCF_000006565.2
XP_002368750.2,-,Pkinase,PF00069.31,7.7e-50,168.6,0.0,1.1e-42,145.1,0.0,GCF_000006565.2
XP_002366307.1,-,Pkinase,PF00069.31,6.5e-49,165.6,0.0,8.4e-49,165.2,0.0,GCF_000006565.2
XP_018636481.1,-,Pkinase,PF00069.31,6.9e-49,165.5,0.0,3.8e-17,61.4,0.0,GCF_000006565.2
XP_018636949.1,-,Pkinase,PF00069.31,5.1e-48,162.6,0.0,9.8e-42,142.0,0.0,GCF_000006565.2
XP_002369665.1,-,Pkinase,PF00069.31,5.3e-48,162.6,0.0,8.1e-48,162.0,0.0,GCF_000006565.2
XP_018637756.1,-,Pkinase,PF00069.31,1.3e-47,161.3,0.0,8.7e-47,158.6,0.0,GCF_000006565.2
XP_002366584.2,-,Pkinase,PF00069.31,2.5e-47,160.4,0.0,1.2e-29,102.4,0.0,GCF_000006565.2
XP_018635026.1,-,Pkinase,PF00069.31,4.4e-47,159.6,0.0,8.8e-22,76.6,0.0,GCF_000006565.2
XP_018637673.1,-,Pkinase,PF00069.31,2.5e-46,157.1,0.0,2e-44,150.8,0.0,GCF_000006565.2
XP_018636355.1,-,Pkinase,PF00069.31,3.6e-46,156.6,0.0,1.5e-45,154.5,0.0,GCF_000006565.2
XP_018635845.1,-,Pkinase,PF00069.31,3.6e-45,153.3,0.0,2.5e-30,104.7,0.0,GCF_000006565.2
XP_018636733.1,-,Pkinase,PF00069.31,5.2e-45,152.8,0.0,7.4e-45,152.3,0.0,GCF_000006565.2
XP_018635512.1,-,Pkinase,PF00069.31,3e-44,150.3,0.0,2.9e-19,68.4,0.0,GCF_000006565.2
XP_018636256.1,-,Pkinase,PF00069.31,6.6e-44,149.2,0.0,8.3e-44,148.8,0.0,GCF_000006565.2
XP_002371588.1,-,Pkinase,PF00069.31,4.7e-43,146.3,0.0,6.5e-43,145.9,0.0,GCF_000006565.2
XP_018637271.1,-,Pkinase,PF00069.31,1.5e-42,144.7,0.0,5.3e-26,90.5,0.0,GCF_000006565.2
XP_002367700.1,-,Pkinase,PF00069.31,3e-42,143.7,0.0,3.9e-20,71.2,0.0,GCF_000006565.2
XP_018637662.1,-,Pkinase,PF00069.31,6.4e-42,142.6,0.0,1.1e-20,73.0,0.1,GCF_000006565.2
XP_002368774.1,-,Pkinase,PF00069.31,2e-41,141.1,0.0,2.4e-34,117.8,0.0,GCF_000006565.2
XP_018635942.1,-,Pkinase,PF00069.31,3.3e-41,140.3,0.0,9.6e-41,138.8,0.0,GCF_000006565.2
XP_002366259.1,-,Pkinase,PF00069.31,1.3e-40,138.4,0.0,7.4e-14,50.7,0.0,GCF_000006565.2
XP_018637868.1,-,Pkinase,PF00069.31,2.1e-40,137.7,0.0,2.2e-14,52.4,0.0,GCF_000006565.2
XP_002371372.1,-,Pkinase,PF00069.31,2.3e-40,137.6,0.0,3.4e-40,137.0,0.0,GCF_000006565.2
XP_018635796.1,-,Pkinase,PF00069.31,2.4e-40,137.5,0.0,7.2e-40,135.9,0.0,GCF_000006565.2
XP_018636006.1,-,Pkinase,PF00069.31,6.5e-40,136.1,0.0,9.5e-40,135.5,0.0,GCF_000006565.2
XP_018636698.1,-,Pkinase,PF00069.31,7.8e-40,135.8,0.0,2.9e-21,74.9,0.0,GCF_000006565.2
XP_002369073.1,-,Pkinase,PF00069.31,2.8e-39,134.0,0.0,6.5e-28,96.7,0.0,GCF_000006565.2
XP_002366833.1,-,Pkinase,PF00069.31,6.7e-39,132.8,0.0,5.6e-23,80.6,0.0,GCF_000006565.2
XP_002369441.2,-,Pkinase,PF00069.31,7.1e-39,132.7,0.0,1.8e-35,121.5,0.0,GCF_000006565.2
XP_018637623.1,-,Pkinase,PF00069.31,8.8e-39,132.4,0.0,2.6e-22,78.4,0.0,GCF_000006565.2
XP_018636919.1,-,Pkinase,PF00069.31,1e-38,132.1,0.0,8.8e-36,122.5,0.0,GCF_000006565.2
XP_018637320.1,-,Pkinase,PF00069.31,2.7e-35,120.9,0.0,1.5e-12,46.4,0.0,GCF_000006565.2
XP_002369414.1,-,Pkinase,PF00069.31,3.2e-35,120.7,0.0,4.1e-11,41.7,0.0,GCF_000006565.2
XP_002368008.2,-,Pkinase,PF00069.31,1.4e-34,118.6,0.0,8.4e-24,83.2,0.0,GCF_000006565.2
XP_018636958.1,-,Pkinase,PF00069.31,2.9e-33,114.3,0.0,1.4e-14,53.0,0.0,GCF_000006565.2
XP_002369128.1,-,Pkinase,PF00069.31,1.1e-31,109.1,0.0,1.2e-29,102.4,0.0,GCF_000006565.2
XP_018636403.1,-,Pkinase,PF00069.31,2.2e-31,108.1,0.0,2.8e-31,107.8,0.0,GCF_000006565.2
XP_018638182.1,-,Pkinase,PF00069.31,3.6e-31,107.4,0.0,1.2e-18,66.4,0.0,GCF_000006565.2
XP_018637942.1,-,Pkinase,PF00069.31,1e-30,105.9,0.0,7.2e-28,96.6,0.0,GCF_000006565.2
XP_002365654.2,-,Pkinase,PF00069.31,4.1e-29,100.7,0.0,2.6e-28,98.1,0.0,GCF_000006565.2
XP_002370639.2,-,Pkinase,PF00069.31,2.1e-28,98.3,0.0,8.1e-28,96.4,0.0,GCF_000006565.2
XP_002367897.1,-,Pkinase,PF00069.31,5.8e-28,96.9,0.0,3.4e-16,58.3,0.0,GCF_000006565.2
XP_018635078.1,-,Pkinase,PF00069.31,3.6e-27,94.3,0.0,2e-09,36.1,0.0,GCF_000006565.2
XP_018638120.1,-,Pkinase,PF00069.31,3.7e-27,94.3,0.0,1.8e-16,59.2,0.0,GCF_000006565.2
XP_018638033.1,-,Pkinase,PF00069.31,4.9e-27,93.8,0.0,1.5e-26,92.2,0.0,GCF_000006565.2
XP_018634975.1,-,Pkinase,PF00069.31,4.1e-26,90.8,0.0,5.3e-26,90.5,0.0,GCF_000006565.2
XP_018637608.1,-,Pkinase,PF00069.31,1e-25,89.5,0.0,1.3e-25,89.2,0.0,GCF_000006565.2
XP_002365072.1,-,Pkinase,PF00069.31,6e-24,83.7,0.0,2.2e-19,68.7,0.0,GCF_000006565.2
XP_002369984.1,-,Pkinase,PF00069.31,6.1e-24,83.7,0.0,1.1e-09,37.0,0.0,GCF_000006565.2
XP_002367757.1,-,Pkinase,PF00069.31,7.4e-24,83.4,0.0,7e-17,60.6,0.0,GCF_000006565.2
XP_002368709.1,-,Pkinase,PF00069.31,7.5e-24,83.4,0.0,5.6e-23,80.6,0.0,GCF_000006565.2
XP_018634757.1,-,Pkinase,PF00069.31,1.8e-23,82.2,0.0,2.8e-23,81.5,0.0,GCF_000006565.2
XP_002366751.2,-,Pkinase,PF00069.31,2.3e-23,81.8,0.0,3.7e-23,81.2,0.0,GCF_000006565.2
XP_002365094.2,-,Pkinase,PF00069.31,4.3e-23,80.9,0.0,3.2e-19,68.2,0.0,GCF_000006565.2
XP_002365327.1,-,Pkinase,PF00069.31,5.5e-23,80.6,0.0,7.7e-23,80.1,0.0,GCF_000006565.2
XP_018637154.1,-,Pkinase,PF00069.31,7.2e-23,80.2,0.0,9.7e-22,76.5,0.0,GCF_000006565.2
XP_018634761.1,-,Pkinase,PF00069.31,2.1e-22,78.7,0.0,2.5e-22,78.4,0.0,GCF_000006565.2
XP_018635433.1,-,Pkinase,PF00069.31,2.1e-21,75.4,0.0,2.8e-20,71.7,0.0,GCF_000006565.2
XP_018637232.1,-,Pkinase,PF00069.31,2.2e-21,75.3,0.0,1.6e-18,65.9,0.0,GCF_000006565.2
XP_018634736.1,-,Pkinase,PF00069.31,2.6e-21,75.1,0.0,3.3e-21,74.7,0.0,GCF_000006565.2
XP_002366754.2,-,Pkinase,PF00069.31,8e-21,73.5,0.0,1.8e-20,72.4,0.0,GCF_000006565.2
XP_018637476.1,-,Pkinase,PF00069.31,1.2e-20,72.9,0.0,2.4e-20,71.9,0.0,GCF_000006565.2
XP_002366753.2,-,Pkinase,PF00069.31,2.3e-20,72.0,0.0,3.9e-20,71.3,0.0,GCF_000006565.2
XP_018634760.1,-,Pkinase,PF00069.31,2.3e-20,72.0,0.0,3.9e-20,71.3,0.0,GCF_000006565.2
XP_002369344.1,-,Pkinase,PF00069.31,4.5e-20,71.0,0.0,4.4e-17,61.2,0.0,GCF_000006565.2
XP_018637061.1,-,Pkinase,PF00069.31,1e-18,66.6,0.0,4.3e-10,38.3,0.0,GCF_000006565.2
XP_018636886.1,-,Pkinase,PF00069.31,1.2e-18,66.4,0.0,4.3e-18,64.5,0.0,GCF_000006565.2
XP_018637639.1,-,Pkinase,PF00069.31,1.2e-18,66.3,0.0,4.5e-08,31.7,0.0,GCF_000006565.2
XP_002369747.1,-,Pkinase,PF00069.31,3e-18,65.0,0.0,2.5e-17,62.0,0.0,GCF_000006565.2
XP_002371398.2,-,Pkinase,PF00069.31,4.6e-18,64.4,0.0,8.8e-18,63.5,0.0,GCF_000006565.2
XP_018638329.1,-,Pkinase,PF00069.31,6.2e-18,64.0,0.0,5.9e-17,60.8,0.0,GCF_000006565.2
XP_002367439.2,-,Pkinase,PF00069.31,8.1e-18,63.6,0.0,4.3e-15,54.7,0.0,GCF_000006565.2
XP_002367561.1,-,Pkinase,PF00069.31,1.2e-17,63.1,0.0,3.5e-17,61.6,0.0,GCF_000006565.2
XP_002366638.1,-,Pkinase,PF00069.31,2.2e-17,62.2,0.0,4.1e-14,51.5,0.0,GCF_000006565.2
XP_018634759.1,-,Pkinase,PF00069.31,6.7e-17,60.6,0.0,9.3e-17,60.2,0.0,GCF_000006565.2
XP_002365373.1,-,Pkinase,PF00069.31,1.1e-16,59.9,0.0,9.5e-14,50.3,0.0,GCF_000006565.2
XP_018637477.1,-,Pkinase,PF00069.31,1.7e-16,59.3,0.0,2.6e-16,58.7,0.0,GCF_000006565.2
XP_018636627.1,-,Pkinase,PF00069.31,1.8e-16,59.2,0.0,1.1e-14,53.3,0.0,GCF_000006565.2
XP_002365047.1,-,Pkinase,PF00069.31,2.7e-16,58.6,0.0,4.4e-16,57.9,0.0,GCF_000006565.2
XP_018637580.1,-,Pkinase,PF00069.31,2.2e-15,55.7,0.0,3.6e-15,55.0,0.0,GCF_000006565.2
XP_018637665.1,-,Pkinase,PF00069.31,6.6e-15,54.1,0.0,3.9e-05,22.1,0.0,GCF_000006565.2
XP_018635070.1,-,Pkinase,PF00069.31,2.4e-14,52.3,0.0,5.6e-11,41.2,0.0,GCF_000006565.2
XP_018638585.1,-,Pkinase,PF00069.31,1.2e-13,50.0,0.0,6.6e-10,37.7,0.0,GCF_000006565.2
XP_002369358.2,-,Pkinase,PF00069.31,1.9e-13,49.3,0.0,3.9e-11,41.7,0.0,GCF_000006565.2
XP_002365051.1,-,Pkinase,PF00069.31,1.2e-12,46.7,0.0,2.1e-12,45.9,0.0,GCF_000006565.2
XP_018636384.1,-,Pkinase,PF00069.31,6.8e-12,44.2,0.0,3.6e-05,22.2,0.0,GCF_000006565.2
XP_018636260.1,-,Pkinase,PF00069.31,1e-11,43.6,0.0,5.9e-05,21.5,0.0,GCF_000006565.2
XP_018637971.1,-,Pkinase,PF00069.31,7.9e-11,40.7,0.0,1.1e-10,40.2,0.0,GCF_000006565.2
XP_018635830.1,-,Pkinase,PF00069.31,6.6e-09,34.4,0.0,1.5e-08,33.3,0.0,GCF_000006565.2
XP_018635789.1,-,Pkinase,PF00069.31,9.3e-09,33.9,0.0,1.6e-08,33.2,0.0,GCF_000006565.2
XP_002369565.1,-,Pkinase,PF00069.31,6.3e-08,31.2,0.0,1.1e-07,30.4,0.0,GCF_000006565.2
XP_002369574.1,-,Pkinase,PF00069.31,1.7e-07,29.8,0.0,2.3e-06,26.1,0.0,GCF_000006565.2
XP_002365518.1,-,Pkinase,PF00069.31,1.8e-07,29.7,0.0,0.22,9.8,0.0,GCF_000006565.2
XP_002369390.1,-,Pkinase,PF00069.31,5.1e-07,28.2,0.0,3.2e-05,22.4,0.0,GCF_000006565.2
XP_002366404.1,-,Pkinase,PF00069.31,6e-07,28.0,0.0,3.1e-06,25.7,0.0,GCF_000006565.2
XP_018638409.1,-,Pkinase,PF00069.31,8.5e-07,27.5,0.0,6.9e-06,24.5,0.0,GCF_000006565.2
XP_002370896.2,-,Pkinase,PF00069.31,8.7e-07,27.5,0.0,1.4e-06,26.8,0.0,GCF_000006565.2
XP_002366599.1,-,Pkinase,PF00069.31,5.9e-06,24.7,0.0,9e-06,24.1,0.0,GCF_000006565.2
XP_018635581.1,-,Pkinase,PF00069.31,6e-06,24.7,0.0,2.3e-05,22.8,0.0,GCF_000006565.2
XP_018635037.1,-,Pkinase,PF00069.31,1.7e-05,23.3,0.0,0.00056,18.3,0.0,GCF_000006565.2
XP_018634779.1,-,Pkinase,PF00069.31,2.7e-05,22.6,0.0,3.8e-05,22.1,0.0,GCF_000006565.2
XP_018635846.1,-,Pkinase,PF00069.31,4.7e-05,21.8,0.1,0.002,16.5,0.1,GCF_000006565.2
XP_018634891.1,-,Pkinase,PF00069.31,4.8e-05,21.8,0.0,9.3e-05,20.8,0.0,GCF_000006565.2
XP_018638552.1,-,Pkinase,PF00069.31,8e-05,21.0,0.0,0.00012,20.5,0.0,GCF_000006565.2
XP_002371925.2,-,Pkinase,PF00069.31,8e-05,21.0,0.0,0.00049,18.5,0.0,GCF_000006565.2
XP_018638551.1,-,Pkinase,PF00069.31,0.00017,20.0,0.0,0.00026,19.4,0.0,GCF_000006565.2
XP_002370593.2,-,Pkinase,PF00069.31,0.00032,19.1,0.0,0.0014,17.0,0.0,GCF_000006565.2
XP_018638413.1,-,Pkinase,PF00069.31,0.00095,17.5,0.0,0.0013,17.1,0.0,GCF_000006565.2
XP_018638052.1,-,Pkinase,PF00069.31,0.001,17.4,0.0,0.15,10.3,0.0,GCF_000006565.2
XP_018634780.1,-,Pkinase,PF00069.31,0.0016,16.8,0.0,0.0021,16.4,0.0,GCF_000006565.2
XP_002366018.1,-,Pkinase,PF00069.31,0.0044,15.3,0.0,0.0084,14.4,0.0,GCF_000006565.2
XP_018638414.1,-,Pkinase,PF00069.31,0.013,13.8,0.0,0.018,13.3,0.0,GCF_000006565.2
XP_018636315.1,-,Pkinase,PF00069.31,0.1,10.8,0.3,0.29,9.4,0.0,GCF_000006565.2
tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
XP_001347188.1,-,Pkinase,PF00069.31,6.7e-81,266.3,0.1,1.2e-80,265.5,0.1,GCF_000141845.1
XP_001347011.1,-,Pkinase,PF00069.31,9.6e-81,265.8,0.3,1.3e-80,265.4,0.3,GCF_000141845.1
XP_001347264.1,-,Pkinase,PF00069.31,3e-75,247.8,0.5,5.1e-75,247.0,0.0,GCF_000141845.1
XP_001347133.1,-,Pkinase,PF00069.31,4.9e-75,247.1,0.0,5.7e-75,246.9,0.0,GCF_000141845.1
XP_001346842.1,-,Pkinase,PF00069.31,1.6e-69,229.0,1.1,1.6e-69,229.0,1.1,GCF_000141845.1
XP_001347283.1,-,Pkinase,PF00069.31,1.8e-69,228.9,1.7,1.9e-69,228.7,0.3,GCF_000141845.1
XP_001346987.1,-,Pkinase,PF00069.31,5.5e-69,227.3,2.7,5.5e-69,227.3,2.7,GCF_000141845.1
XP_001347242.1,-,Pkinase,PF00069.31,2.3e-68,225.2,1.4,2.4e-68,225.2,0.1,GCF_000141845.1
XP_001347161.1,-,Pkinase,PF00069.31,3.4e-68,224.7,0.0,9.3e-68,223.2,0.0,GCF_000141845.1
XP_001347275.1,-,Pkinase,PF00069.31,3.3e-67,221.4,0.3,3.3e-67,221.4,0.3,GCF_000141845.1
XP_001346949.1,-,Pkinase,PF00069.31,9.2e-67,220.0,0.9,9.2e-67,220.0,0.9,GCF_000141845.1
XP_001347219.1,-,Pkinase,PF00069.31,3.5e-65,214.8,0.0,4.8e-65,214.3,0.0,GCF_000141845.1
XP_001346828.1,-,Pkinase,PF00069.31,1.2e-64,213.0,0.0,9.3e-64,210.1,0.0,GCF_000141845.1
XP_001347178.1,-,Pkinase,PF00069.31,6.2e-64,210.7,0.1,1.2e-63,209.8,0.1,GCF_000141845.1
XP_001346931.1,-,Pkinase,PF00069.31,7.2e-64,210.5,0.6,3.8e-40,132.7,0.4,GCF_000141845.1
XP_001347239.1,-,Pkinase,PF00069.31,1e-61,203.4,0.1,1.2e-61,203.2,0.1,GCF_000141845.1
XP_001347250.1,-,Pkinase,PF00069.31,1.3e-61,203.1,2.5,2e-61,202.5,2.5,GCF_000141845.1
XP_001346956.1,-,Pkinase,PF00069.31,6.8e-60,197.5,1.0,1.4e-59,196.4,1.0,GCF_000141845.1
XP_001346834.1,-,Pkinase,PF00069.31,2.2e-59,195.8,5.6,2.2e-59,195.8,5.6,GCF_000141845.1
XP_001346889.1,-,Pkinase,PF00069.31,2e-56,186.1,0.2,2e-56,186.1,0.2,GCF_000141845.1
XP_001347022.1,-,Pkinase,PF00069.31,2e-56,186.1,0.5,2.4e-56,185.8,0.5,GCF_000141845.1
XP_001347018.1,-,Pkinase,PF00069.31,6.6e-55,181.1,4.0,1.1e-54,180.4,4.0,GCF_000141845.1
XP_001347130.1,-,Pkinase,PF00069.31,1.9e-53,176.3,0.5,3.4e-53,175.5,0.0,GCF_000141845.1
XP_001347060.1,-,Pkinase,PF00069.31,7.4e-51,167.8,1.3,7.4e-51,167.8,1.3,GCF_000141845.1
XP_001346871.1,-,Pkinase,PF00069.31,1e-44,147.7,0.4,2.5e-44,146.5,0.4,GCF_000141845.1
XP_001347126.1,-,Pkinase,PF00069.31,3.4e-43,142.7,6.9,3.4e-43,142.7,6.9,GCF_000141845.1
XP_001346829.1,-,Pkinase,PF00069.31,7.9e-37,121.8,1.8,1.5e-36,120.9,1.8,GCF_000141845.1
XP_001347277.1,-,Pkinase,PF00069.31,5.9e-33,109.1,3.2,7.4e-33,108.8,1.9,GCF_000141845.1
XP_001346988.1,-,Pkinase,PF00069.31,7.5e-31,102.3,6.8,2e-30,100.9,6.8,GCF_000141845.1
XP_001346964.1,-,Pkinase,PF00069.31,5.2e-16,53.6,5.1,1.5e-13,45.5,5.1,GCF_000141845.1
XP_001347049.1,-,Pkinase,PF00069.31,2.2e-09,31.9,5.6,2.2e-09,31.9,5.6,GCF_000141845.1
XP_001346972.1,-,Pkinase,PF00069.31,8.6e-06,20.1,0.7,1.6e-05,19.2,0.7,GCF_000141845.1
tar,tar_acc,query,hmm_acc,full_e,full_score,full_bias,dom_e,dom_score,dom_bias,acc
XP_001449897.1,-,Pkinase,PF00069.31,5.6e-100,335.2,1.6,1.2e-60,206.3,0.4,GCF_000165425.1
XP_001450969.1,-,Pkinase,PF00069.31,7.2e-94,315.2,30.8,1.3e-45,157.0,1.8,GCF_000165425.1
XP_001461521.1,-,Pkinase,PF00069.31,3.5e-86,289.9,0.2,3.5e-86,289.9,0.2,GCF_000165425.1
XP_001451913.1,-,Pkinase,PF00069.31,1.5e-85,287.9,0.3,1.5e-85,287.9,0.3,GCF_000165425.1
XP_001446884.1,-,Pkinase,PF00069.31,3.1e-85,286.9,0.0,3.6e-85,286.6,0.0,GCF_000165425.1
XP_001455561.1,-,Pkinase,PF00069.31,8.4e-85,285.4,0.2,1.5e-84,284.6,0.2,GCF_000165425.1
XP_001432688.1,-,Pkinase,PF00069.31,1e-84,285.1,0.1,1e-84,285.1,0.1,GCF_000165425.1
XP_001447211.1,-,Pkinase,PF00069.31,1.1e-84,285.1,1.2,1.9e-84,284.3,1.2,GCF_000165425.1
XP_001454100.1,-,Pkinase,PF00069.31,2.1e-84,284.1,0.0,2.7e-84,283.8,0.0,GCF_000165425.1
XP_001425839.1,-,Pkinase,PF00069.31,2.7e-84,283.8,0.2,4.6e-84,283.0,0.2,GCF_000165425.1
XP_001431506.1,-,Pkinase,PF00069.31,3e-84,283.6,1.5,5.6e-84,282.7,1.5,GCF_000165425.1
XP_001450683.1,-,Pkinase,PF00069.31,3.8e-84,283.3,1.4,6.8e-84,282.5,1.4,GCF_000165425.1
XP_001424632.1,-,Pkinase,PF00069.31,4.3e-84,283.1,0.2,1.1e-83,281.8,0.2,GCF_000165425.1
XP_001439326.1,-,Pkinase,PF00069.31,4.3e-84,283.1,1.3,4.3e-84,283.1,1.3,GCF_000165425.1
XP_001444557.1,-,Pkinase,PF00069.31,4.3e-84,283.1,0.2,8.5e-84,282.2,0.2,GCF_000165425.1
XP_001452179.1,-,Pkinase,PF00069.31,5.3e-84,282.8,0.6,9.7e-84,282.0,0.6,GCF_000165425.1
