,Accn,Super.Group,Organism_Taxonomic_ID,Organism.Name,SIN1,RICTOR,RAPTOR,TOR,LST8,Class.name,Phylum.name,Order.name,Family.name,Genus.name,Source,C.score,Frag.score,SIN1All,SIN1Domain,RICTORAll,RICTORDomain,RAPTORAll,RAPTORDomain,LST8All,LST8Domain,TORAll,TORDomain,M.Strategy
11,Partet1,Alveolata,412030,Paramecium tetraurelia strain d4-2,M,H,NA,H,H,Oligohymenophorea,Ciliophora,Peniculida,Parameciidae,Paramecium,JGI,98,0,203.7,203.3,896.6,896.4,NA,NA,319.1,318.9,1157.5,1157.2,Heterotroph
12,Symmic1,Alveolata,2951,Symbiodinium microadriaticum,NA,NA,NA,H,L,Dinophyceae,NA,Suessiales,Symbiodiniaceae,Symbiodinium,JGI,75.8,15.2,NA,NA,NA,NA,NA,NA,161.2,122.9,466.1,466.1,Endosymbiotic
13,GCA_000002415.2,Alveolata,5855,Plasmodium vivax,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,95.25,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
14,GCA_000002765.3,Alveolata,36329,Plasmodium falciparum 3D7,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,99.12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
15,GCA_000003085.2,Alveolata,73239,Plasmodium yoelii yoelii,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,64.91,10.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
16,GCA_000003225.1,Alveolata,5874,Theileria annulata,NA,NA,NA,M,NA,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,93.74,2.47,NA,NA,NA,NA,NA,NA,NA,NA,166.3,166.3,Parasite
17,GCA_000006355.3,Alveolata,5851,Plasmodium knowlesi strain H,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,99.18,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
18,GCA_000006405.1,Alveolata,423536,Perkinsus marinus ATCC 50983,NA,L,M,H,M,NA,Perkinsozoa,Perkinsida,Perkinsidae,Perkinsus,NCBI,97.08,1.17,NA,NA,157,109.5,221.1,221.1,294.5,223,1096.2,1095.8,Parasite
19,GCA_000006515.1,Alveolata,441375,Cryptosporidium muris RN66,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,99.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,447.7,447.7,Parasite
20,GCA_000149665.2,Alveolata,137071,Plasmodium falciparum HB3,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,85.78,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
21,GCA_000149715.2,Alveolata,507601,Toxoplasma gondii GT1,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,100,0,NA,NA,NA,NA,NA,NA,125.3,117.1,681.1,681.1,Parasite
22,GCA_000149795.1,Alveolata,57267,Plasmodium falciparum Dd2,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,51.37,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
23,GCA_000150015.2,Alveolata,432359,Toxoplasma gondii VEG,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,99.4,0.6,NA,NA,NA,NA,NA,NA,125.2,118,727,727,Parasite
24,GCA_000150435.3,Alveolata,57266,Plasmodium falciparum 7G8,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,89.95,4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
25,GCA_000165345.1,Alveolata,353152,Cryptosporidium parvum Iowa II,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,96.61,1.99,NA,NA,NA,NA,NA,NA,NA,NA,445.5,444.2,Parasite
26,GCA_000165365.1,Alveolata,333668,Theileria parva strain Muguga,NA,NA,NA,M,NA,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,98.06,0.62,NA,NA,NA,NA,NA,NA,NA,NA,179.5,179.5,Parasite
27,GCA_000165395.2,Alveolata,484906,Babesia bovis T2Bo,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,98.41,0.09,NA,NA,NA,NA,NA,NA,NA,NA,333.6,331,Parasite
28,GCA_000165425.1,Alveolata,5888,Paramecium tetraurelia,M,H,NA,H,H,Oligohymenophorea,Ciliophora,Peniculida,Parameciidae,Paramecium,NCBI,98.83,0.58,203.7,203.3,896.6,896.4,NA,NA,319.1,318.9,1157.5,1157.2,Heterotroph
29,GCA_000186025.2,Alveolata,580058,Plasmodium falciparum RAJ116,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,24.6,19.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
30,GCA_000186055.2,Alveolata,580059,Plasmodium falciparum IGH-CR14,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,74.79,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
31,GCA_000208865.2,Alveolata,572307,Neospora caninum Liverpool,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Neospora,NCBI,98.21,0.8,NA,NA,NA,NA,NA,NA,125.5,110.3,758.2,743.8,Parasite
32,GCA_000209695.1,Alveolata,5807,Cryptosporidium parvum,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,14.34,0.4,NA,NA,NA,NA,NA,NA,NA,NA,443.5,442.1,Parasite
33,GCA_000220395.1,Alveolata,5932,Ichthyophthirius multifiliis,NA,M,NA,H,M,Oligohymenophorea,Ciliophora,Hymenostomatida,NA,Ichthyophthirius,NCBI,82.46,5.26,NA,NA,278.7,278.5,NA,NA,242,241.8,1094.2,1093.7,Parasite
34,GCA_000223845.4,Alveolata,110365,Gregarina niphandrodes,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eugregarinorida,Gregarinidae,Gregarina,NCBI,65.74,3.39,NA,NA,NA,NA,NA,NA,NA,NA,417.6,417.6,Parasite
35,GCA_000224805.2,Alveolata,935652,Toxoplasma gondii RUB,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,89.64,8.57,NA,NA,NA,NA,NA,NA,125.4,117.1,533.6,531.8,Parasite
36,GCA_000224845.2,Alveolata,933077,Toxoplasma gondii VAND,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,93.23,5.18,NA,NA,NA,NA,NA,NA,125.3,117.1,727.5,727.5,Parasite
37,GCA_000224865.2,Alveolata,943118,Toxoplasma gondii MAS,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,89.84,6.77,NA,NA,NA,NA,NA,NA,125.2,118,726.1,726.1,Parasite
38,GCA_000224885.2,Alveolata,943119,Toxoplasma gondii p89,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,91.04,6.37,NA,NA,NA,NA,NA,NA,125.4,117.1,726.5,726.5,Parasite
39,GCA_000224905.2,Alveolata,943167,Toxoplasma gondii FOU,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,88.25,7.97,NA,NA,NA,NA,NA,NA,125.3,117.1,725.8,725.8,Parasite
40,GCA_000250965.2,Alveolata,1074872,Toxoplasma gondii ARI,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,92.63,5.78,NA,NA,NA,NA,NA,NA,125.2,118,728.5,728.5,Parasite
41,GCA_000256705.2,Alveolata,943122,Toxoplasma gondii CAST,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,92.23,5.38,NA,NA,NA,NA,NA,NA,125.3,117.1,726.4,726.4,Parasite
42,GCA_000256725.2,Alveolata,1130821,Toxoplasma gondii TgCatPRC2,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,92.03,6.18,NA,NA,NA,NA,NA,NA,126.3,118.6,728.5,728.5,Parasite
43,GCA_000258005.2,Alveolata,99158,Hammondia hammondi,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Hammondia,NCBI,99.8,0.2,NA,NA,NA,NA,NA,NA,124.8,119.4,729.8,729.8,Parasite
44,GCA_000320625.2,Alveolata,1077284,Plasmodium vivax India VII,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,94.23,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
45,GCA_000320645.2,Alveolata,1033975,Plasmodium vivax Brazil I,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,95.36,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
46,GCA_000320665.2,Alveolata,1035515,Plasmodium vivax Mauritania I,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,95.28,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
47,GCA_000320685.2,Alveolata,1035514,Plasmodium vivax North Korean,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,94.67,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
48,GCA_000321355.1,Alveolata,1120755,Plasmodium cynomolgi strain B,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,80.62,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
49,GCA_000325525.2,Alveolata,1130820,Toxoplasma gondii GAB2-2007-GAL-DOM2,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,93.23,5.18,NA,NA,NA,NA,NA,NA,125.3,117.1,727,727,Parasite
50,GCA_000342415.1,Alveolata,1537102,Theileria equi strain WA,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,94.36,3.79,NA,NA,NA,NA,NA,NA,NA,NA,320.8,319.9,Parasite
51,GCA_000401695.2,Alveolata,5843,Plasmodium falciparum NF54,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,79.46,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
52,GCA_000401715.2,Alveolata,1237627,Plasmodium falciparum UGT5.1,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,81.71,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
53,GCA_000499385.1,Alveolata,51315,Eimeria necatrix,NA,NA,NA,NA,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,88.45,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
54,GCA_000499425.1,Alveolata,5801,Eimeria acervulina,NA,NA,NA,M,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,89.44,7.57,NA,NA,NA,NA,NA,NA,NA,NA,281.3,281.3,Parasite
55,GCA_000499445.1,Alveolata,51316,Eimeria praecox,NA,NA,NA,NA,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,48.41,14.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
56,GCA_000499545.1,Alveolata,5802,Eimeria tenella,NA,NA,NA,M,L,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,89.24,7.57,NA,NA,NA,NA,NA,NA,117.3,115.7,215.4,215.2,Parasite
57,GCA_000499605.1,Alveolata,5804,Eimeria maxima,NA,NA,NA,L,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,77.49,10.96,NA,NA,NA,NA,NA,NA,NA,NA,133.4,132.6,Parasite
58,GCA_000499725.1,Alveolata,51314,Eimeria brunetti,NA,NA,NA,M,L,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,76.29,9.96,NA,NA,NA,NA,NA,NA,117.7,114.7,185.4,185.4,Parasite
59,GCA_000499745.2,Alveolata,44415,Eimeria mitis,NA,NA,NA,NA,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Eimeria,NCBI,50.8,20.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
60,GCA_000505035.1,Alveolata,1323249,Plasmodium yoelii 17X,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,96.02,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
61,GCA_000521015.1,Alveolata,1036723,Plasmodium falciparum Vietnam Oak-Knoll (FVO),NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,87.34,4.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
62,GCA_000521035.1,Alveolata,1036727,Plasmodium falciparum MaliPS096_E11,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,83.28,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
63,GCA_000521055.1,Alveolata,1036725,Plasmodium falciparum Tanzania (2000708),NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,83.44,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
64,GCA_000521075.1,Alveolata,1036726,Plasmodium falciparum NF135/5.C10,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,89.98,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
65,GCA_000521095.1,Alveolata,57270,Plasmodium falciparum Palo Alto/Uganda,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,85.48,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
66,GCA_000521115.1,Alveolata,5835,Plasmodium falciparum CAMP/Malaysia,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,90.25,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
67,GCA_000521155.1,Alveolata,1036724,Plasmodium falciparum FCH/4,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,68.62,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
68,GCA_000524495.1,Alveolata,1237626,Plasmodium inui San Antonio 1,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,96.51,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
69,GCA_000524515.1,Alveolata,138298,Plasmodium vinckei petteri,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,96.87,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
70,GCA_000691945.2,Alveolata,1133968,Babesia microti strain RI,NA,NA,NA,M,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,95.15,1.15,NA,NA,NA,NA,NA,NA,NA,NA,250.9,250.9,Parasite
71,GCA_000709005.1,Alveolata,54757,Plasmodium vinckei vinckei,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,97.12,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
72,GCA_000723685.1,Alveolata,5854,Plasmodium reichenowi,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.98,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
73,GCA_000740895.1,Alveolata,869250,Theileria orientalis strain Shintoku,NA,NA,NA,M,NA,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,94.27,0.62,NA,NA,NA,NA,NA,NA,NA,NA,171.4,171.4,Parasite
74,GCA_000751175.1,Alveolata,5949,Stylonychia lemnae,NA,H,NA,H,M,Spirotrichea,Ciliophora,Sporadotrichida,Oxytrichidae,Stylonychia,NCBI,97.66,1.17,NA,NA,560,478.5,NA,NA,299.1,298.8,1180.2,1179.9,Heterotroph
75,GCA_000769155.2,Alveolata,88456,Cyclospora cayetanensis,NA,NA,NA,M,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Eimeriidae,Cyclospora,NCBI,94.02,3.19,NA,NA,NA,NA,NA,NA,NA,NA,288.5,288.3,Parasite
76,GCA_000956335.1,Alveolata,5857,Plasmodium fragile,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,96.79,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
77,GCA_000981445.1,Alveolata,5866,Babesia bigemina,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,97.53,0.53,NA,NA,NA,NA,NA,NA,NA,NA,340.3,340.3,Parasite
78,GCA_001447515.1,Alveolata,266149,Pseudocohnilembus persalinus,NA,H,NA,H,M,Oligohymenophorea,Ciliophora,Philasterida,Pseudocohnilembidae,Pseudocohnilembus,NCBI,99.42,0,NA,NA,676.9,674.3,NA,NA,296,295.7,983.8,983.5,Heterotroph
79,GCA_001483515.1,Alveolata,237895,Cryptosporidium hominis,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,97.61,0.8,NA,NA,NA,NA,NA,NA,NA,NA,445.4,442.9,Parasite
80,GCA_001593445.1,Alveolata,93969,Cryptosporidium meleagridis,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,98.61,0.4,NA,NA,NA,NA,NA,NA,NA,NA,456.7,456.7,Parasite
81,GCA_001602025.1,Alveolata,647221,Plasmodium gaboni,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,95.14,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
82,GCA_001865345.1,Alveolata,857276,Cryptosporidium ubiquitum,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,97.41,0.6,NA,NA,NA,NA,NA,NA,NA,NA,435.6,435.6,Parasite
83,GCA_001865355.1,Alveolata,117008,Cryptosporidium andersoni,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,99.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,443.8,443.8,Parasite
84,GCA_002095265.1,Alveolata,462227,Babesia sp. Xinjiang,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,80.09,2.47,NA,NA,NA,NA,NA,NA,NA,NA,326.8,323.2,Parasite
85,GCA_002140095.1,Alveolata,5850,Plasmodium knowlesi,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,98.54,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
86,GCA_002157705.1,Alveolata,77519,Plasmodium gonderi,NA,NA,NA,NA,NA,Aconoidasida,Apicomplexa,Haemosporida,Plasmodiidae,Plasmodium,NCBI,99.12,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parasite
87,GCA_002563875.1,Alveolata,94643,Besnoitia besnoiti,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Besnoitia,NCBI,99.8,0.2,NA,NA,NA,NA,NA,NA,130.3,118.2,806.6,784.3,Parasite
88,GCA_002600585.1,Alveolata,483139,Cystoisospora suis,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Cystoisospora,NCBI,83.47,11.16,NA,NA,NA,NA,NA,NA,113.5,108.5,818.5,815.9,Parasite
89,GCA_002897235.1,Alveolata,189622,Babesia ovata,NA,NA,NA,H,NA,Aconoidasida,Apicomplexa,Piroplasmida,Babesiidae,Babesia,NCBI,83.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,321.3,321.3,Parasite
90,GCA_003072535.4,Alveolata,68886,Theileria orientalis,NA,NA,NA,M,NA,Aconoidasida,Apicomplexa,Piroplasmida,Theileriidae,Theileria,NCBI,95.59,1.5,NA,NA,NA,NA,NA,NA,NA,NA,172.3,156.4,Parasite
91,GCA_004936735.2,Alveolata,1280935,Cryptosporidium sp. chipmunk genotype I,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,97.61,1,NA,NA,NA,NA,NA,NA,NA,NA,451.4,450.8,Parasite
92,GCA_007210665.1,Alveolata,756076,Cryptosporidium tyzzeri,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,98.01,0.6,NA,NA,NA,NA,NA,NA,NA,NA,445.2,444.3,Parasite
93,GCA_009768925.2,Alveolata,310047,Cryptosporidium bovis,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,95.62,0.6,NA,NA,NA,NA,NA,NA,NA,NA,440.3,440.3,Parasite
94,GCA_009792415.2,Alveolata,515981,Cryptosporidium ryanae,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,94.62,1,NA,NA,NA,NA,NA,NA,NA,NA,445.1,443.1,Parasite
95,GCA_013099955.1,Alveolata,5811,Toxoplasma gondii,NA,NA,NA,H,L,Conoidasida,Apicomplexa,Eucoccidiorida,Sarcocystidae,Toxoplasma,NCBI,100,0,NA,NA,NA,NA,NA,NA,125.3,117.1,709.9,709.9,Parasite
96,GCA_013115115.1,Alveolata,32597,Perkinsus olseni,NA,M,H,H,M,NA,Perkinsozoa,Perkinsida,Perkinsidae,Perkinsus,NCBI,89.47,2.34,NA,NA,311.9,153.8,313.8,313.1,229.5,229.1,1157.6,1157.2,Parasite
97,GCA_013115145.1,Alveolata,330153,Perkinsus chesapeaki,NA,L,M,H,M,NA,Perkinsozoa,Perkinsida,Perkinsidae,Perkinsus,NCBI,91.23,3.51,NA,NA,304.1,143.3,222.6,222.1,224.9,224.3,1179.2,1178.7,Parasite
98,GCA_014529505.1,Alveolata,83540,Cryptosporidium felis,NA,NA,NA,H,NA,Conoidasida,Apicomplexa,Eucoccidiorida,Cryptosporidiidae,Cryptosporidium,NCBI,91.04,2.19,NA,NA,NA,NA,NA,NA,NA,NA,473.3,472.8,Parasite
99,GCA_015476325.1,Alveolata,476202,Cardiosporidium cionae,NA,NA,NA,M,M,Aconoidasida,Apicomplexa,Nephromycida,NA,Cardiosporidium,NCBI,59.21,3.7,NA,NA,NA,NA,NA,NA,268.7,268.4,297.8,232.3,Parasite
