"","hit_id","query_id","hit_eval","hit_bitscore","hit_description","accn","Taxid","Species.name","Phylum.name","Group.name","Kingdom.name","Super.Group","M.Strategy","TORC2_Presence"
"55","XP_001452550.1","Mass_AKT_Aligned",4.1e-40,146.1,"uncharacterized protein GSPATT00002553","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"56","XP_001459454.1","Mass_AKT_Aligned",3e-39,143.2,"uncharacterized protein GSPATT00024788","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"57","XP_001426615.1","Mass_AKT_Aligned",2.2e-38,140.4,"uncharacterized protein GSPATT00029848","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"58","XP_001461324.1","Mass_AKT_Aligned",1.9e-37,137.3,"uncharacterized protein GSPATT00026274","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"59","XP_001457534.1","Mass_AKT_Aligned",1.9e-37,137.2,"uncharacterized protein GSPATT00023311","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"60","XP_001454389.1","Mass_AKT_Aligned",1.9e-36,134,"uncharacterized protein GSPATT00020656","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"61","XP_001456785.1","Mass_AKT_Aligned",2.4e-36,133.6,"uncharacterized protein GSPATT00022560","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"62","XP_001423522.1","Mass_AKT_Aligned",3.3e-36,133.1,"uncharacterized protein GSPATT00000560","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"63","XP_001459025.1","Mass_AKT_Aligned",4.3e-36,132.8,"uncharacterized protein GSPATT00024357","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"64","XP_001435767.1","Mass_AKT_Aligned",4.7e-36,132.6,"uncharacterized protein GSPATT00037154","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"65","XP_001460680.1","Mass_AKT_Aligned",5.4e-36,132.4,"uncharacterized protein GSPATT00004152","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"66","XP_001438983.1","Mass_AKT_Aligned",2.7e-35,130.1,"uncharacterized protein GSPATT00008134","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"67","XP_001450839.1","Mass_AKT_Aligned",3.8e-35,129.6,"uncharacterized protein GSPATT00017771","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"68","XP_001442698.1","Mass_AKT_Aligned",4.5e-35,129.4,"uncharacterized protein GSPATT00001504","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"69","XP_001441197.1","Mass_AKT_Aligned",1.1e-34,128.1,"uncharacterized protein GSPATT00010072","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"70","XP_001435282.1","Mass_AKT_Aligned",1.1e-34,128.1,"uncharacterized protein GSPATT00036666","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"71","XP_001426212.1","Mass_AKT_Aligned",1.5e-34,127.7,"uncharacterized protein GSPATT00029443","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"72","XP_001455855.1","Mass_AKT_Aligned",2.6e-34,126.8,"uncharacterized protein GSPATT00021625","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"73","XP_001459091.1","Mass_AKT_Aligned",1.8e-33,124,"uncharacterized protein GSPATT00024424","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"74","XP_001462268.1","Mass_AKT_Aligned",3.7e-33,123,"uncharacterized protein GSPATT00027222","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"75","XP_001433856.1","Mass_AKT_Aligned",6.1e-33,122.3,"uncharacterized protein GSPATT00035588","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"76","XP_001456271.1","Mass_AKT_Aligned",2.2e-32,120.4,"uncharacterized protein GSPATT00022042","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"77","XP_001458036.1","Mass_AKT_Aligned",2.9e-32,120,"uncharacterized protein GSPATT00003501","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"78","XP_001427414.1","Mass_AKT_Aligned",3.1e-32,119.9,"uncharacterized protein GSPATT00030654","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"79","XP_001454476.1","Mass_AKT_Aligned",4.2e-32,119.5,"uncharacterized protein GSPATT00020732","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"80","XP_001448631.1","Mass_AKT_Aligned",8e-32,118.6,"uncharacterized protein GSPATT00016075","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"81","XP_001423123.1","Mass_AKT_Aligned",8.6e-32,118.5,"uncharacterized protein GSPATT00000160","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"82","XP_001459917.1","Mass_AKT_Aligned",1.2e-31,118,"uncharacterized protein GSPATT00025254","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"83","XP_001440007.1","Mass_AKT_Aligned",2.5e-31,116.9,"uncharacterized protein GSPATT00009001","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"84","XP_001434781.1","Mass_AKT_Aligned",9.1e-31,115.1,"uncharacterized protein GSPATT00006690","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"85","XP_001429763.1","Mass_AKT_Aligned",1.6e-30,114.3,"uncharacterized protein GSPATT00005611","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"86","XP_001442803.1","Mass_AKT_Aligned",1.2e-29,111.3,"uncharacterized protein GSPATT00001610","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"87","XP_001462550.1","Mass_AKT_Aligned",1.4e-29,111.1,"uncharacterized protein GSPATT00027506","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"88","XP_001427286.1","Mass_AKT_Aligned",1.5e-29,111.1,"uncharacterized protein GSPATT00030525","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"89","XP_001459310.1","Mass_AKT_Aligned",1.7e-29,110.9,"uncharacterized protein GSPATT00024644","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"90","XP_001442233.1","Mass_AKT_Aligned",4.5e-29,109.4,"uncharacterized protein GSPATT00011004","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"91","XP_001443640.1","Mass_AKT_Aligned",6.4e-29,108.9,"uncharacterized protein GSPATT00011816","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"92","XP_001456641.1","Mass_AKT_Aligned",9.6e-29,108.3,"uncharacterized protein GSPATT00022415","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"93","XP_001461434.1","Mass_AKT_Aligned",1.3e-28,108,"uncharacterized protein GSPATT00026384","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"94","XP_001456134.1","Mass_AKT_Aligned",1.4e-28,107.8,"uncharacterized protein GSPATT00021905","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"95","XP_001458943.1","Mass_AKT_Aligned",2e-28,107.3,"uncharacterized protein GSPATT00024274","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"96","XP_001442425.1","Mass_AKT_Aligned",2.3e-28,107.1,"uncharacterized protein GSPATT00001230","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"97","XP_001436903.1","Mass_AKT_Aligned",2.6e-28,106.9,"uncharacterized protein GSPATT00037945","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"98","XP_001428315.1","Mass_AKT_Aligned",4.4e-28,106.1,"uncharacterized protein GSPATT00031146","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"99","XP_001454236.1","Mass_AKT_Aligned",1.4e-27,104.5,"uncharacterized protein GSPATT00020501","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"100","XP_001451887.1","Mass_AKT_Aligned",2e-27,104,"uncharacterized protein GSPATT00018695","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"101","XP_001455596.1","Mass_AKT_Aligned",3.9e-27,103,"uncharacterized protein GSPATT00003167","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"102","XP_001441245.1","Mass_AKT_Aligned",8.5e-27,101.9,"uncharacterized protein GSPATT00010120","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"103","XP_001438610.1","Mass_AKT_Aligned",9e-27,101.8,"uncharacterized protein GSPATT00000926","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"104","XP_001452796.1","Mass_AKT_Aligned",1.1e-26,101.5,"uncharacterized protein GSPATT00002799","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"105","XP_001439328.1","Mass_AKT_Aligned",1.5e-26,101,"uncharacterized protein GSPATT00008410","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"106","XP_001438765.1","Mass_AKT_Aligned",7.5e-26,98.7,"uncharacterized protein GSPATT00001082","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"107","XP_001441008.1","Mass_AKT_Aligned",1.1e-25,98.3,"uncharacterized protein GSPATT00009883","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"108","XP_001438305.1","Mass_AKT_Aligned",3.1e-25,96.7,"uncharacterized protein GSPATT00000619","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"109","XP_001447759.1","Mass_AKT_Aligned",3.4e-25,96.5,"uncharacterized protein GSPATT00015257","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"110","XP_001437415.1","Mass_AKT_Aligned",3.8e-25,96.4,"uncharacterized protein GSPATT00007458","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"111","XP_001442536.1","Mass_AKT_Aligned",4.2e-25,96.3,"uncharacterized protein GSPATT00001342","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"112","XP_001448563.1","Mass_AKT_Aligned",5.5e-25,95.9,"uncharacterized protein GSPATT00016007","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"113","XP_001445944.1","Mass_AKT_Aligned",8.2e-25,95.3,"uncharacterized protein GSPATT00013977","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"114","XP_001441828.1","Mass_AKT_Aligned",8.4e-25,95.3,"uncharacterized protein GSPATT00010631","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"115","XP_001455101.1","Mass_AKT_Aligned",1.3e-24,94.7,"uncharacterized protein GSPATT00021337","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
"116","XP_001427654.1","Mass_AKT_Aligned",1.4e-24,94.5,"uncharacterized protein GSPATT00030895","GCF_000165425.1",5888,"Paramecium tetraurelia","Ciliophora","ciliates",NA,"Alveolata","Heterotroph","TORC2 Expected"
