"accn","bitscore","evalue","gapopen","hit_description","length","mismatch","name","pident","qend","qseqid","qstart","selected","send","shared name","Species name","sstart","Super.Group","Taxid","TORC2_Presence"
"GCA_001970955.1","1709","0.0","0","hypothetical protein SteCoe_451 [Stentor c","894","0","OMJ96068.1","100.0","894","OMJ96068.1","1","true","894","OMJ96068.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","1282","0.0","3","hypothetical protein SteCoe_9022 [Stentor","902","245","OMJ88917.1","71.3","894","OMJ96068.1","1","true","896","OMJ88917.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","1729","0.0","0","hypothetical protein SteCoe_14691 [Stentor","882","0","OMJ84268.1","100.0","882","OMJ84268.1","1","true","882","OMJ84268.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","348","2.3899999999999998E-114","2","hypothetical protein SteCoe_6149 [Stentor","381","203","OMJ91354.1","46.2","392","OMJ92225.1","14","true","437","OMJ91354.1","Stentor coeruleus","57","NA","5963","NA"
"GCA_001970955.1","348","1.1E-114","2","hypothetical protein SteCoe_14912 [Stentor","381","202","OMJ84043.1","46.5","392","OMJ92225.1","14","true","419","OMJ84043.1","Stentor coeruleus","39","NA","5963","NA"
"GCA_001970955.1","1210","0.0","0","hypothetical protein SteCoe_16750 [Stentor","614","0","OMJ82525.1","100.0","614","OMJ82525.1","1","true","614","OMJ82525.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","1655","0.0","0","hypothetical protein SteCoe_19865 [Stentor","904","0","OMJ79992.1","100.0","904","OMJ79992.1","1","true","904","OMJ79992.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","1655","0.0","0","hypothetical protein SteCoe_26563 [Stentor","904","0","OMJ74487.1","100.0","904","OMJ79992.1","1","true","904","OMJ74487.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","1368","0.0","0","hypothetical protein SteCoe_29129 [Stentor","683","0","OMJ72446.1","100.0","683","OMJ72446.1","1","true","683","OMJ72446.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001970955.1","568","4.69E-198","4","hypothetical protein SteCoe_7315 [Stentor","631","271","OMJ90296.1","48.8","581","OMJ90823.1","2","true","632","OMJ90296.1","Stentor coeruleus","3","NA","5963","NA"
"GCA_001970955.1","735","1.62E-271","0","hypothetical protein SteCoe_2828 [Stentor","368","0","OMJ94058.1","100.0","368","OMJ94058.1","1","true","368","OMJ94058.1","Stentor coeruleus","1","NA","5963","NA"
"GCA_001839685.2","909","0.0","0","RAC family serine/threonine-protein kinase","455","0","OHT16678.1","100.0","455","OHT16678.1","1","true","455","OHT16678.1","Tritrichomonas foetus","1","Metamonada","1144522","TORC2 Expected"
"GCA_001839685.2","899","0.0","0","AGC family protein kinase [Tritrichomonas","447","0","OHT09970.1","100.0","447","OHT09970.1","1","true","447","OHT09970.1","Tritrichomonas foetus","1","Metamonada","1144522","TORC2 Expected"
"GCA_001839685.2","870","0.0","0","RAC family serine/threonine-protein kinase","425","0","OHT08662.1","100.0","425","OHT08662.1","1","true","425","OHT08662.1","Tritrichomonas foetus","1","Metamonada","1144522","TORC2 Expected"
"GCA_001839685.2","939","0.0","0","RAC family serine/threonine-protein kinase","462","0","OHT16842.1","100.0","462","OHT16842.1","1","true","462","OHT16842.1","Tritrichomonas foetus","1","Metamonada","1144522","TORC2 Expected"
"GCA_001839685.2","533","9.769999999999999E-188","4","AGC family protein kinase [Tritrichomonas","511","172","OHT02420.1","55.0","456","OHT16842.1","1","true","508","OHT02420.1","Tritrichomonas foetus","1","Metamonada","1144522","TORC2 Expected"
"GCA_001839685.2","911","0.0","0","RAC family serine/threonine-protein kinase","482","0","OHT14272.1","100.0","482","OHT14272.1","1","true","482","OHT14272.1","Tritrichomonas foetus","1","Metamonada","1144522","TORC2 Expected"
"GCA_001839685.2","293","1.22E-94","3","AGC family protein kinase [Tritrichomonas","297","149","OHS93294.1","46.1","414","OHT14848.1","127","true","421","OHS93294.1","Tritrichomonas foetus","127","Metamonada","1144522","TORC2 Expected"
"GCF_000001215.4","1011","0.0","0","protein kinase, cAMP-dependent, cataly","583","0","NP_730083.2","100.0","583","NP_730083.2","1","true","583","NP_730083.2","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_009914755.1","1433","0.0","1","ribosomal protein S6 kinase alpha-3 is","718","0","XP_054183497.1","99.2","712","XP_054183508.1","1","true","746","XP_054183497.1","Homo sapiens","29","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","1433","0.0","1","ribosomal protein S6 kinase alpha-3 is","718","0","XP_011543857.1","99.2","712","XP_054183508.1","1","true","746","XP_011543857.1","Homo sapiens","29","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","1190","0.0","4","ribosomal protein S6 kinase alpha-3 is","710","110","XP_054183505.1","83.1","731","XP_054212164.1","29","true","717","XP_054183505.1","Homo sapiens","11","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","1187","0.0","4","ribosomal protein S6 kinase alpha-3 is","707","108","XP_011543864.1","83.3","717","XP_054212165.1","18","true","717","XP_011543864.1","Homo sapiens","14","Opisthokonta","9606","TORC2 Expected"
"GCF_000001215.4","1062","0.0","0","Akt kinase, isoform B [Drosophila mela","530","0","NP_732115.1","100.0","530","NP_732115.1","1","true","530","NP_732115.1","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_000001215.4","1062","0.0","0","Akt kinase, isoform A [Drosophila mela","530","0","NP_732114.1","100.0","530","NP_732115.1","1","true","530","NP_732114.1","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_000001215.4","1062","0.0","0","Akt kinase, isoform C [Drosophila mela","530","0","NP_732113.3","100.0","530","NP_732115.1","1","true","611","NP_732113.3","Drosophila melanogaster","82","Opisthokonta","7227","TORC2 Expected"
"GCF_000001215.4","1062","0.0","0","Akt kinase, isoform E [Drosophila mela","530","0","NP_001287354.1","100.0","530","NP_732115.1","1","true","530","NP_001287354.1","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_000001215.4","1062","0.0","0","Akt kinase, isoform D [Drosophila mela","530","0","NP_001287353.1","100.0","530","NP_732115.1","1","true","530","NP_001287353.1","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_009914755.1","1416","0.0","0","ribosomal protein S6 kinase alpha-3 is","702","0","XP_054183501.1","100.0","702","XP_054183512.1","1","true","730","XP_054183501.1","Homo sapiens","29","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","1416","0.0","0","ribosomal protein S6 kinase alpha-3 is","702","0","XP_047298289.1","100.0","702","XP_054183512.1","1","true","730","XP_047298289.1","Homo sapiens","29","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","847","1.9E-305","2","ribosomal protein S6 kinase alpha-3 is","495","77","XP_054183512.1","83.8","539","XP_054194065.1","45","true","505","XP_054183512.1","Homo sapiens","14","Opisthokonta","9606","TORC2 Expected"
"GCF_000001215.4","1676","0.0","0","ribosomal protein S6 kinase II, isofor","911","0","NP_523437.2","100.0","911","NP_523437.2","1","true","911","NP_523437.2","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_000001215.4","1676","0.0","0","ribosomal protein S6 kinase II, isofor","911","0","NP_001259779.1","100.0","911","NP_523437.2","1","true","911","NP_001259779.1","Drosophila melanogaster","1","Opisthokonta","7227","TORC2 Expected"
"GCF_009914755.1","1190","0.0","4","ribosomal protein S6 kinase alpha-3 is","704","110","XP_054183513.1","83.7","731","XP_054212164.1","29","true","710","XP_054183513.1","Homo sapiens","11","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","872","0.0","1","RAC-beta serine/threonine-protein kina","481","0","NP_001317440.1","91.1","481","NP_001617.1","1","true","438","NP_001317440.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","594","1.8799999999999998E-216","0","cAMP-dependent protein kinase catalyti","336","53","NP_002723.2","84.2","343","NP_997401.1","8","true","351","NP_002723.2","Homo sapiens","16","Opisthokonta","9606","TORC2 Expected"
"GCF_000001215.4","594","2.02E-216","0","protein kinase, cAMP-dependent, cataly","336","52","NP_995672.1","84.5","343","NP_997401.1","8","true","353","NP_995672.1","Drosophila melanogaster","18","Opisthokonta","7227","TORC2 Expected"
"GCF_000001215.4","594","2.02E-216","0","protein kinase, cAMP-dependent, cataly","336","52","NP_723479.1","84.5","343","NP_997401.1","8","true","353","NP_723479.1","Drosophila melanogaster","18","Opisthokonta","7227","TORC2 Expected"
"GCF_009914755.1","472","2.9699999999999995E-168","0","RAC-gamma serine/threonine-protein kin","235","2","XP_054189660.1","99.1","235","XP_054189666.1","1","true","235","XP_054189660.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","472","2.9699999999999995E-168","0","RAC-gamma serine/threonine-protein kin","235","2","XP_054184599.1","99.1","235","XP_054189666.1","1","true","235","XP_054184599.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","472","2.9699999999999995E-168","0","RAC-gamma serine/threonine-protein kin","235","2","XP_047271599.1","99.1","235","XP_054189666.1","1","true","235","XP_047271599.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","472","4.0399999999999994E-168","0","RAC-gamma serine/threonine-protein kin","235","2","NP_859029.1","99.1","235","XP_054189666.1","1","true","235","NP_859029.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","472","4.0399999999999994E-168","0","RAC-gamma serine/threonine-protein kin","235","2","NP_001193658.1","99.1","235","XP_054189666.1","1","true","235","NP_001193658.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_054189663.1","98.1","249","XP_054189665.1","40","true","418","XP_054189663.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_054189662.1","98.1","249","XP_054189665.1","40","true","418","XP_054189662.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_054189661.1","98.1","249","XP_054189665.1","40","true","418","XP_054189661.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_054184602.1","98.1","249","XP_054189665.1","40","true","418","XP_054184602.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_054184601.1","98.1","249","XP_054189665.1","40","true","418","XP_054184601.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_054184600.1","98.1","249","XP_054189665.1","40","true","418","XP_054184600.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_047280288.1","98.1","249","XP_054189665.1","40","true","418","XP_047280288.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_047278347.1","98.1","249","XP_054189665.1","40","true","418","XP_047278347.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_047276597.1","98.1","249","XP_054189665.1","40","true","418","XP_047276597.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_047275142.1","98.1","249","XP_054189665.1","40","true","418","XP_047275142.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","437","2.95E-155","0","RAC-gamma serine/threonine-protein kin","210","4","XP_047273315.1","98.1","249","XP_054189665.1","40","true","418","XP_047273315.1","Homo sapiens","209","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","378","9.889999999999999E-129","4","serine/threonine-protein kinase Sgk1 i","411","111","NP_001278924.1","51.3","460","NP_733827.2","86","true","384","NP_001278924.1","Homo sapiens","27","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","478","3.63E-167","3","serine/threonine-protein kinase Sgk1 i","411","118","NP_001137149.1","60.3","460","NP_733827.2","86","true","456","NP_001137149.1","Homo sapiens","55","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","478","2.2399999999999998E-167","3","serine/threonine-protein kinase Sgk1 i","411","118","NP_001137150.1","60.3","460","NP_733827.2","86","true","442","NP_001137150.1","Homo sapiens","41","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","488","4.0599999999999996E-170","3","serine/threonine-protein kinase Sgk1 i","430","129","NP_001137148.1","59.5","460","NP_733827.2","67","true","523","NP_001137148.1","Homo sapiens","103","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","933","0.0","0","serine/threonine-protein kinase Sgk3 i","464","0","NP_733827.2","100.0","464","NP_733827.2","1","true","464","NP_733827.2","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","917","0.0","1","serine/threonine-protein kinase Sgk3 i","496","0","NP_037389.4","93.5","464","NP_733827.2","1","true","496","NP_037389.4","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","917","0.0","1","serine/threonine-protein kinase Sgk3 [","496","0","NP_001191102.1","93.5","464","NP_733827.2","1","true","496","NP_001191102.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","917","0.0","1","serine/threonine-protein kinase Sgk3 i","496","0","NP_001028750.1","93.5","464","NP_733827.2","1","true","496","NP_001028750.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","802","2.88E-294","4","RAC-gamma serine/threonine-protein kin","480","78","XP_054189659.1","82.7","478","XP_054231533.1","1","true","477","XP_054189659.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_000001405.40","802","2.88E-294","4","RAC-gamma serine/threonine-protein kin","480","78","XP_054184598.1","82.7","478","XP_054231533.1","1","true","477","XP_054184598.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","802","2.88E-294","4","RAC-gamma serine/threonine-protein kin","480","78","NP_005456.1","82.7","478","XP_054231533.1","1","true","477","NP_005456.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","802","2.88E-294","4","RAC-gamma serine/threonine-protein kin","480","78","NP_001357003.1","82.7","478","XP_054231533.1","1","true","477","NP_001357003.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
"GCF_009914755.1","976","0.0","0","RAC-alpha serine/threonine-protein kin","480","0","XP_054231533.1","100.0","480","XP_054231533.1","1","true","480","XP_054231533.1","Homo sapiens","1","Opisthokonta","9606","TORC2 Expected"
