tar,seq_length,Analysis,sig_acc,sig_desc,start,stop,e_value,All_Domains
DAZ96507.1,879,Pfam,PF01363,FYVE zinc finger,436,489,1.1e-4,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
DAZ96507.1,879,Pfam,PF00069,Protein kinase domain,544,810,1e-66,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
RMX67832.1,878,Pfam,PF22749,Arb2 domain,22,222,1.3e-18,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
RMX67832.1,878,Pfam,PF00168,C2 domain,287,382,3.1e-8,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
RMX67832.1,878,Pfam,PF01363,FYVE zinc finger,437,486,0.0042,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
RMX67832.1,878,Pfam,PF00069,Protein kinase domain,540,806,1.4e-66,"Arb2 domain, C2 domain, FYVE zinc finger, Protein kinase domain"
TMW65952.1,884,Pfam,PF22749,Arb2 domain,21,221,5.2e-20,"Arb2 domain, C2 domain, Protein kinase domain"
TMW65952.1,884,Pfam,PF00168,C2 domain,285,380,3.9e-8,"Arb2 domain, C2 domain, Protein kinase domain"
TMW65952.1,884,Pfam,PF00069,Protein kinase domain,550,817,2.2e-66,"Arb2 domain, C2 domain, Protein kinase domain"
CCI43648.1,924,Pfam,PF22749,Arb2 domain,19,220,1.4e-17,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
CCI43648.1,924,Pfam,PF00168,C2 domain,286,383,5e-8,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
CCI43648.1,924,Pfam,PF00069,Protein kinase domain,590,857,1.1e-64,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
CCI43648.1,924,Pfam,PF01363,FYVE zinc finger,464,517,3.9e-4,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
EGZ25435.1,858,Pfam,PF22749,Arb2 domain,3,198,2.3e-18,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
EGZ25435.1,858,Pfam,PF00168,C2 domain,263,358,9.7e-9,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
EGZ25435.1,858,Pfam,PF00069,Protein kinase domain,516,783,6.5e-67,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
EGZ25435.1,858,Pfam,PF01363,FYVE zinc finger,412,461,0.0018,"Arb2 domain, C2 domain, Protein kinase domain, FYVE zinc finger"
CCI49881.1,928,Pfam,PF22749,Arb2 domain,34,240,1.2e-19,"Arb2 domain, FYVE zinc finger, C2 domain, Protein kinase domain"
CCI49881.1,928,Pfam,PF01363,FYVE zinc finger,468,521,0.0026,"Arb2 domain, FYVE zinc finger, C2 domain, Protein kinase domain"
CCI49881.1,928,Pfam,PF00168,C2 domain,305,400,7.7e-6,"Arb2 domain, FYVE zinc finger, C2 domain, Protein kinase domain"
CCI49881.1,928,Pfam,PF00069,Protein kinase domain,592,861,2.6e-68,"Arb2 domain, FYVE zinc finger, C2 domain, Protein kinase domain"
KAE9359219.1,882,Pfam,PF22749,Arb2 domain,12,221,4.9e-21,"Arb2 domain, FYVE zinc finger, Protein kinase domain, C2 domain"
KAE9359219.1,882,Pfam,PF01363,FYVE zinc finger,436,485,0.002,"Arb2 domain, FYVE zinc finger, Protein kinase domain, C2 domain"
KAE9359219.1,882,Pfam,PF00069,Protein kinase domain,540,807,6.9e-67,"Arb2 domain, FYVE zinc finger, Protein kinase domain, C2 domain"
KAE9359219.1,882,Pfam,PF00168,C2 domain,286,381,9.8e-9,"Arb2 domain, FYVE zinc finger, Protein kinase domain, C2 domain"
KAG9406963.1,898,Pfam,PF22749,Arb2 domain,19,230,2.1e-9,"Arb2 domain, Protein kinase domain, C2 domain"
KAG9406963.1,898,Pfam,PF00069,Protein kinase domain,564,816,3.4000000000000003e-65,"Arb2 domain, Protein kinase domain, C2 domain"
KAG9406963.1,898,Pfam,PF00168,C2 domain,290,385,1.7e-8,"Arb2 domain, Protein kinase domain, C2 domain"
GLE05498.1,871,Pfam,PF22749,Arb2 domain,4,198,3.8e-20,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
GLE05498.1,871,Pfam,PF00069,Protein kinase domain,536,803,8.7e-67,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
GLE05498.1,871,Pfam,PF00168,C2 domain,263,358,8.3e-8,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
GLE05498.1,871,Pfam,PF01363,FYVE zinc finger,425,475,0.0027,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
KAE8887661.1,882,Pfam,PF22749,Arb2 domain,12,221,1.7e-21,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
KAE8887661.1,882,Pfam,PF00069,Protein kinase domain,540,807,6.9e-67,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
KAE8887661.1,882,Pfam,PF00168,C2 domain,286,381,9.8e-9,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
KAE8887661.1,882,Pfam,PF01363,FYVE zinc finger,436,485,0.002,"Arb2 domain, Protein kinase domain, C2 domain, FYVE zinc finger"
ETL40371.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETL40371.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETL40371.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETL40371.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETN08918.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETN08918.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETN08918.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETN08918.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETO75754.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETO75754.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETO75754.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
ETO75754.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979455.1,885,Pfam,PF22749,Arb2 domain,13,222,4.3e-20,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979455.1,885,Pfam,PF00069,Protein kinase domain,543,810,1.3e-66,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979455.1,885,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979455.1,885,Pfam,PF00168,C2 domain,287,382,1.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979803.1,885,Pfam,PF22749,Arb2 domain,13,222,4.3e-20,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979803.1,885,Pfam,PF00069,Protein kinase domain,543,810,1.3e-66,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979803.1,885,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9979803.1,885,Pfam,PF00168,C2 domain,287,382,1.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9998562.1,885,Pfam,PF22749,Arb2 domain,13,222,4.3e-20,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9998562.1,885,Pfam,PF00069,Protein kinase domain,543,810,1.3e-66,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9998562.1,885,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KAI9998562.1,885,Pfam,PF00168,C2 domain,287,382,1.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KUF97505.1,886,Pfam,PF22749,Arb2 domain,13,222,5.5e-21,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KUF97505.1,886,Pfam,PF00069,Protein kinase domain,543,810,4.1e-67,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KUF97505.1,886,Pfam,PF01363,FYVE zinc finger,438,487,0.0026,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
KUF97505.1,886,Pfam,PF00168,C2 domain,287,382,3.2e-8,"Arb2 domain, Protein kinase domain, FYVE zinc finger, C2 domain"
CAH0484359.1,878,Pfam,PF00168,C2 domain,287,382,3.1e-8,"C2 domain, Arb2 domain, FYVE zinc finger, Protein kinase domain"
CAH0484359.1,878,Pfam,PF22749,Arb2 domain,22,222,1.3e-18,"C2 domain, Arb2 domain, FYVE zinc finger, Protein kinase domain"
CAH0484359.1,878,Pfam,PF01363,FYVE zinc finger,437,486,0.0042,"C2 domain, Arb2 domain, FYVE zinc finger, Protein kinase domain"
CAH0484359.1,878,Pfam,PF00069,Protein kinase domain,540,806,1.4e-66,"C2 domain, Arb2 domain, FYVE zinc finger, Protein kinase domain"
KAF0730461.1,898,Pfam,PF00168,C2 domain,290,385,1.7e-8,"C2 domain, Arb2 domain, Protein kinase domain"
KAF0730461.1,898,Pfam,PF22749,Arb2 domain,19,230,7.3e-10,"C2 domain, Arb2 domain, Protein kinase domain"
KAF0730461.1,898,Pfam,PF00069,Protein kinase domain,564,816,3.5e-65,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9056040.1,898,Pfam,PF00168,C2 domain,290,385,1.7e-8,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9056040.1,898,Pfam,PF22749,Arb2 domain,19,230,7.3e-10,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9056040.1,898,Pfam,PF00069,Protein kinase domain,564,816,3.5e-65,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9108886.1,898,Pfam,PF00168,C2 domain,290,385,3.1e-8,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9108886.1,898,Pfam,PF22749,Arb2 domain,19,230,7.2e-10,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9108886.1,898,Pfam,PF00069,Protein kinase domain,564,816,3.5e-65,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9134684.1,898,Pfam,PF00168,C2 domain,290,385,1.7e-8,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9134684.1,898,Pfam,PF22749,Arb2 domain,19,230,7.3e-10,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9134684.1,898,Pfam,PF00069,Protein kinase domain,564,816,3.5e-65,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9192606.1,898,Pfam,PF00168,C2 domain,290,385,3.1e-8,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9192606.1,898,Pfam,PF22749,Arb2 domain,19,230,7.2e-10,"C2 domain, Arb2 domain, Protein kinase domain"
KAH9192606.1,898,Pfam,PF00069,Protein kinase domain,564,816,3.5e-65,"C2 domain, Arb2 domain, Protein kinase domain"
KAF1334030.1,897,Pfam,PF00168,C2 domain,286,381,3.9e-7,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAF1334030.1,897,Pfam,PF22749,Arb2 domain,17,220,4.8e-21,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAF1334030.1,897,Pfam,PF00069,Protein kinase domain,562,828,5.4999999999999996e-67,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAF1334030.1,897,Pfam,PF01363,FYVE zinc finger,443,491,3.4e-4,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAG6604574.1,855,Pfam,PF00168,C2 domain,286,381,1e-8,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAG6604574.1,855,Pfam,PF22749,Arb2 domain,12,221,5.0000000000000005e-22,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAG6604574.1,855,Pfam,PF00069,Protein kinase domain,541,780,1.1e-54,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
KAG6604574.1,855,Pfam,PF01363,FYVE zinc finger,437,486,1.7e-4,"C2 domain, Arb2 domain, Protein kinase domain, FYVE zinc finger"
CAH0482815.1,491,Pfam,PF00168,C2 domain,31,84,440,"C2 domain, C2 domain"
CAH0482815.1,491,Pfam,PF00168,C2 domain,113,167,420,"C2 domain, C2 domain"
KAE9241213.1,507,Pfam,PF00168,C2 domain,36,89,260,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAE9241213.1,507,Pfam,PF00168,C2 domain,118,172,1800,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAE9241213.1,507,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",213,291,4e-10,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
ETK72039.1,713,Pfam,PF00168,C2 domain,113,167,2800,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETK72039.1,713,Pfam,PF00168,C2 domain,31,84,370,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETK72039.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETK72039.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETL78680.1,713,Pfam,PF00168,C2 domain,113,167,2800,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETL78680.1,713,Pfam,PF00168,C2 domain,31,84,370,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETL78680.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETL78680.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETN15878.1,713,Pfam,PF00168,C2 domain,113,167,2800,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETN15878.1,713,Pfam,PF00168,C2 domain,31,84,370,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETN15878.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
ETN15878.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG3223015.1,638,Pfam,PF00168,C2 domain,113,167,2400,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG3223015.1,638,Pfam,PF00168,C2 domain,31,84,110,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG3223015.1,638,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,2.5e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG3223015.1,638,Pfam,PF00069,Protein kinase domain,426,557,3e-21,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG6968385.1,693,Pfam,PF00168,C2 domain,11,64,120,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG6968385.1,693,Pfam,PF00168,C2 domain,93,147,2700,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG6968385.1,693,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",189,266,2.9e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KAG6968385.1,693,Pfam,PF00069,Protein kinase domain,353,612,1.7e-54,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KUF80877.1,713,Pfam,PF00168,C2 domain,113,167,2800,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KUF80877.1,713,Pfam,PF00168,C2 domain,31,84,370,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KUF80877.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3.6e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
KUF80877.1,713,Pfam,PF00069,Protein kinase domain,373,632,2.5e-54,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
OWZ02589.1,691,Pfam,PF00168,C2 domain,93,147,2900,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
OWZ02589.1,691,Pfam,PF00168,C2 domain,11,64,140,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
OWZ02589.1,691,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",188,266,1.5e-9,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
OWZ02589.1,691,Pfam,PF00069,Protein kinase domain,351,610,1.3e-54,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RMX66732.1,717,Pfam,PF00168,C2 domain,31,84,290,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RMX66732.1,717,Pfam,PF00168,C2 domain,113,167,3000,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RMX66732.1,717,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",208,286,1.8e-7,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
RMX66732.1,717,Pfam,PF00069,Protein kinase domain,377,636,1.7e-55,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
TMW68005.1,714,Pfam,PF00168,C2 domain,120,174,1400,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
TMW68005.1,714,Pfam,PF00168,C2 domain,38,91,700,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
TMW68005.1,714,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",215,293,5e-8,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
TMW68005.1,714,Pfam,PF00069,Protein kinase domain,376,643,1.9e-57,"C2 domain, C2 domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP), Protein kinase domain"
CAH0490404.1,717,Pfam,PF00168,C2 domain,31,84,290,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
CAH0490404.1,717,Pfam,PF00168,C2 domain,113,167,3000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
CAH0490404.1,717,Pfam,PF00069,Protein kinase domain,377,636,1.7999999999999997e-55,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
CAH0490404.1,717,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",208,286,1.8e-7,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG1703485.1,713,Pfam,PF00168,C2 domain,113,167,3000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG1703485.1,713,Pfam,PF00168,C2 domain,31,84,190,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG1703485.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.2e-55,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG1703485.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",210,286,4.4e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG2945122.1,586,Pfam,PF00168,C2 domain,113,167,2100,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG2945122.1,586,Pfam,PF00168,C2 domain,31,84,100,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG2945122.1,586,Pfam,PF00069,Protein kinase domain,432,505,1.1e-7,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG2945122.1,586,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,2.2e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG3175553.1,713,Pfam,PF00168,C2 domain,31,84,130,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG3175553.1,713,Pfam,PF00168,C2 domain,113,167,2800,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG3175553.1,713,Pfam,PF00069,Protein kinase domain,373,632,1.1999999999999999e-54,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG3175553.1,713,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",209,286,3e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG6965607.1,693,Pfam,PF00168,C2 domain,93,147,2700,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG6965607.1,693,Pfam,PF00168,C2 domain,11,64,130,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG6965607.1,693,Pfam,PF00069,Protein kinase domain,353,612,1.1e-54,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAG6965607.1,693,Pfam,PF00610,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)",189,266,2.9e-9,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAH7468701.1,708,Pfam,PF00168,C2 domain,106,160,3000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAH7468701.1,708,Pfam,PF00168,C2 domain,24,77,2000,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
KAH7468701.1,708,Pfam,PF00069,Protein kinase domain,368,637,3.7e-55,"C2 domain, C2 domain, Protein kinase domain, Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
